公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
精工钢构,2016-12-31,6.40亿,1.29亿,1.39亿,3.72亿,60.7亿
科大讯飞,2018-12-31,26.6亿,-1666万,17.3亿,9.47亿,79.2亿
科大讯飞,2017-12-31,16.7亿,-2584万,11.1亿,5.81亿,54.4亿
科大讯飞,2016-12-31,13.4亿,-3373万,6.49亿,7.29亿,33.2亿
皖通高速,2018-12-31,1.37亿,5312万,--,8438万,29.7亿
皖通高速,2017-12-31,1.12亿,2958万,--,8280万,28.6亿
皖通高速,2016-12-31,1.75亿,9127万,--,8414万,25.0亿
安科生物,2018-12-31,7.42亿,279万,6.41亿,9860万,14.6亿
安科生物,2017-12-31,4.63亿,186万,3.71亿,8955万,11.0亿
安科生物,2016-12-31,4.04亿,245万,2.68亿,1.33亿,8.49亿
九华旅游,2018-12-31,1.03亿,-6.52万,3115万,7172万,4.85亿
九华旅游,2017-12-31,9332万,12.8万,2473万,6845万,4.46亿
九华旅游,2016-12-31,8046万,-80.9万,2285万,5842万,4.01亿
辉隆股份,2018-12-31,6.60亿,1.05亿,3.51亿,2.04亿,168亿
辉隆股份,2017-12-31,5.80亿,9476万,3.03亿,1.82亿,143亿
辉隆股份,2016-12-31,4.31亿,6386万,2.03亿,1.63亿,88.5亿
富煌钢构,2018-12-31,2.55亿,1.02亿,3755万,1.15亿,35.3亿
富煌钢构,2017-12-31,2.36亿,1.15亿,3336万,8760万,28.1亿
富煌钢构,2016-12-31,1.84亿,6818万,3085万,8523万,23.8亿
国风塑业,2018-12-31,1.10亿,-72.6万,3794万,7310万,12.3亿
国风塑业,2017-12-31,1.20亿,775万,4107万,7105万,11.7亿
国风塑业,2016-12-31,1.52亿,903万,3792万,1.05亿,11.4亿
淮北矿业,2018-12-31,50.9亿,13.9亿,2.78亿,34.2亿,547亿
淮北矿业,2017-12-31,46.2亿,15.4亿,2.61亿,28.2亿,499亿
淮北矿业,2016-12-31,2.31亿,1404万,5571万,1.61亿,8.36亿
合肥百货,2018-12-31,15.0亿,431万,4.65亿,10.3亿,107亿
合肥百货,2017-12-31,14.0亿,1386万,4.45亿,9.43亿,104亿
合肥百货,2016-12-31,12.7亿,-86.8万,3.95亿,8.74亿,97.4亿
洽洽食品,2018-12-31,7.80亿,-560万,5.70亿,2.16亿,42.0亿
洽洽食品,2017-12-31,6.87亿,987万,4.89亿,1.89亿,36.0亿
洽洽食品,2016-12-31,6.41亿,-1161万,4.51亿,2.02亿,35.1亿
应流股份,2018-12-31,3.43亿,1.38亿,5252万,1.52亿,16.8亿
应流股份,2017-12-31,3.23亿,1.42亿,4889万,1.32亿,13.7亿
应流股份,2016-12-31,2.94亿,9390万,4547万,1.55亿,12.8亿
长信科技,2018-12-31,4.32亿,1.40亿,9589万,1.96亿,96.1亿
长信科技,2017-12-31,3.33亿,8044万,7869万,1.74亿,109亿
长信科技,2016-12-31,3.32亿,6305万,7203万,1.97亿,85.4亿
楚江新材,2018-12-31,3.13亿,989万,1.39亿,1.64亿,131亿
楚江新材,2017-12-31,2.47亿,-1926万,1.24亿,1.42亿,110亿
楚江新材,2016-12-31,2.77亿,2227万,1.07亿,1.47亿,79.2亿
合锻智能,2018-12-31,1.82亿,488万,1.20亿,5634万,7.99亿
合锻智能,2017-12-31,1.46亿,375万,9549万,4687万,7.29亿
合锻智能,2016-12-31,1.56亿,878万,6884万,7805万,6.50亿
盛运环保,2018-12-31,6.80亿,4.48亿,2022万,2.12亿,5.15亿
盛运环保,2017-12-31,6.34亿,2.89亿,1.27亿,2.18亿,13.6亿
盛运环保,2016-12-31,3.08亿,9239万,2716万,1.89亿,15.7亿
安利股份,2018-12-31,1.76亿,2772万,6745万,8088万,16.8亿
安利股份,2017-12-31,1.89亿,4519万,6386万,8005万,14.9亿
安利股份,2016-12-31,2.39亿,1223万,6424万,1.63亿,14.0亿
全柴动力,2018-12-31,2.36亿,-1446万,1.29亿,1.21亿,34.8亿
全柴动力,2017-12-31,1.96亿,-847万,1.06亿,9850万,31.9亿
全柴动力,2016-12-31,3.08亿,-908万,1.16亿,2.01亿,29.8亿
中粮科技,2018-12-31,20.4亿,1.58亿,11.4亿,7.48亿,177亿
中粮科技,2017-12-31,19.5亿,1.77亿,11.6亿,6.05亿,159亿
中粮科技,2016-12-31,7.18亿,1.53亿,2.27亿,3.39亿,56.0亿
江南化工,2018-12-31,7.14亿,2.26亿,1.25亿,3.63亿,28.9亿
江南化工,2017-12-31,6.52亿,2.03亿,1.26亿,3.23亿,22.7亿
江南化工,2016-12-31,4.86亿,2011万,1.17亿,3.49亿,13.5亿
惠而浦,2018-12-31,11.3亿,-6847万,10.3亿,1.66亿,62.9亿
惠而浦,2017-12-31,15.5亿,7205万,12.4亿,2.36亿,63.6亿
惠而浦,2016-12-31,16.2亿,-3449万,13.1亿,3.50亿,67.7亿
黄山胶囊,2018-12-31,4954万,-660万,3489万,2124万,2.95亿
黄山胶囊,2017-12-31,5064万,-32.2万,3133万,1964万,2.86亿
黄山胶囊,2016-12-31,6035万,16.9万,3194万,2824万,2.83亿
阳光电源,2018-12-31,10.1亿,1592万,6.98亿,2.95亿,104亿
阳光电源,2017-12-31,8.32亿,5515万,5.18亿,2.59亿,88.9亿
阳光电源,2016-12-31,7.12亿,-367万,2.86亿,4.30亿,60.0亿
海螺型材,2018-12-31,3.50亿,2029万,1.60亿,1.70亿,30.9亿
海螺型材,2017-12-31,3.50亿,3416万,1.66亿,1.50亿,30.9亿
海螺型材,2016-12-31,3.43亿,3937万,1.56亿,1.48亿,31.8亿
设计总院,2018-12-31,1.37亿,-793万,5527万,8940万,16.5亿
设计总院,2017-12-31,1.05亿,-86.3万,3452万,7155万,13.7亿
设计总院,2016-12-31,1.37亿,89.7万,3091万,1.05亿,9.67亿
中钢天源,2018-12-31,1.39亿,461万,4919万,8528万,12.8亿
中钢天源,2017-12-31,1.44亿,694万,4806万,8912万,11.6亿
中钢天源,2016-12-31,1.63亿,509万,4066万,1.18亿,9.10亿
皖天然气,2018-12-31,1.15亿,783万,938万,9771万,32.4亿
皖天然气,2017-12-31,9040万,961万,763万,7315万,25.7亿
皖天然气,2016-12-31,9075万,2153万,490万,6433万,21.6亿
交建股份,2018-12-31,8750万,850万,1511万,6389万,27.2亿
交建股份,2017-12-31,7298万,834万,1035万,5429万,26.3亿
交建股份,2016-12-31,6921万,955万,455万,5512万,25.0亿
丰乐种业,2018-12-31,2.44亿,1265万,1.38亿,9301万,19.3亿
丰乐种业,2017-12-31,2.28亿,883万,1.39亿,8086万,14.5亿
丰乐种业,2016-12-31,2.38亿,169万,1.23亿,1.13亿,12.2亿
长虹美菱,2018-12-31,28.5亿,-3931万,25.8亿,3.18亿,175亿
长虹美菱,2017-12-31,26.9亿,-3365万,24.3亿,2.86亿,168亿
长虹美菱,2016-12-31,21.9亿,-1.40亿,18.6亿,4.72亿,125亿
集友股份,2018-12-31,5187万,-27.4万,1266万,3949万,4.58亿
集友股份,2017-12-31,2901万,-84.5万,665万,2320万,2.34亿
集友股份,2016-12-31,3494万,6.28万,531万,2956万,1.87亿
安徽合力,2018-12-31,7.70亿,-1983万,4.62亿,3.28亿,96.7亿
安徽合力,2017-12-31,6.99亿,-234万,4.25亿,2.76亿,84.9亿
安徽合力,2016-12-31,8.32亿,-996万,3.64亿,4.78亿,62.0亿
众源新材,2018-12-31,4891万,437万,2815万,1639万,32.1亿
众源新材,2017-12-31,5682万,999万,2819万,1864万,29.8亿
众源新材,2016-12-31,1.10亿,719万,2332万,7959万,21.5亿
安 纳 达,2018-12-31,4574万,135万,2964万,1475万,10.4亿
安 纳 达,2017-12-31,5939万,980万,3280万,1680万,11.4亿
安 纳 达,2016-12-31,6812万,1412万,3262万,2138万,8.19亿
永新股份,2018-12-31,1.80亿,-309万,9873万,8424万,23.3亿
永新股份,2017-12-31,1.62亿,-194万,8830万,7596万,20.1亿
永新股份,2016-12-31,1.81亿,-1244万,8942万,1.04亿,19.0亿
国元证券,2018-12-31,--,--,--,--,25.4亿
国元证券,2017-12-31,--,--,--,--,35.1亿
国元证券,2016-12-31,--,--,--,--,33.8亿
安徽建工,2018-12-31,18.5亿,5.35亿,1.20亿,11.9亿,388亿
安徽建工,2017-12-31,16.9亿,5.29亿,1.07亿,10.5亿,355亿
安徽建工,2016-12-31,11.9亿,2.16亿,7169万,8.98亿,344亿
长城军工,2018-12-31,2.09亿,1489万,3948万,1.55亿,14.3亿
长城军工,2017-12-31,2.04亿,2405万,4107万,1.39亿,14.9亿
长城军工,2016-12-31,2.80亿,2764万,3938万,2.13亿,13.0亿
伯特利,2018-12-31,1.24亿,1088万,5570万,5761万,26.0亿
伯特利,2017-12-31,9881万,841万,4373万,4667万,24.2亿
伯特利,2016-12-31,1.57亿,155万,3972万,1.15亿,22.1亿
中电兴发,2018-12-31,3.55亿,1304万,2.09亿,1.33亿,24.6亿
中电兴发,2017-12-31,2.00亿,-135万,1.06亿,9516万,20.3亿
中电兴发,2016-12-31,3.02亿,2793万,9157万,1.82亿,16.7亿
华孚时尚,2018-12-31,9.41亿,3.03亿,2.40亿,3.98亿,143亿
华孚时尚,2017-12-31,8.66亿,2.32亿,2.72亿,3.62亿,126亿
华孚时尚,2016-12-31,8.15亿,2.09亿,2.56亿,3.50亿,88.4亿
泰禾光电,2018-12-31,1.13亿,-418万,8848万,2828万,4.07亿
泰禾光电,2017-12-31,9350万,121万,6943万,2286万,3.85亿
泰禾光电,2016-12-31,1.01亿,-577万,6427万,4278万,3.71亿
精达股份,2018-12-31,4.52亿,1.14亿,1.82亿,1.56亿,119亿
精达股份,2017-12-31,4.28亿,1.06亿,1.70亿,1.52亿,113亿
精达股份,2016-12-31,5.87亿,5609万,1.45亿,3.86亿,81.4亿
迎驾贡酒,2018-12-31,6.05亿,-920万,4.51亿,1.63亿,34.9亿
迎驾贡酒,2017-12-31,5.50亿,-1316万,4.07亿,1.56亿,31.4亿
迎驾贡酒,2016-12-31,5.28亿,-1422万,3.82亿,1.60亿,30.4亿
三七互娱,2018-12-31,36.1亿,1710万,33.5亿,2.46亿,76.3亿
三七互娱,2017-12-31,22.8亿,2856万,19.1亿,3.40亿,61.9亿
三七互娱,2016-12-31,21.2亿,-546万,16.1亿,5.15亿,52.5亿
新力金融,2018-12-31,2.20亿,1.10亿,--,1.10亿,5.33亿
新力金融,2017-12-31,2.13亿,8392万,--,1.29亿,6.33亿
新力金融,2016-12-31,2.12亿,1.09亿,392万,9920万,8.11亿
文一科技,2018-12-31,5903万,674万,1628万,3600万,3.08亿
文一科技,2017-12-31,5130万,549万,1416万,3165万,3.13亿
文一科技,2016-12-31,6755万,372万,1404万,4980万,2.14亿
淮河能源,2018-12-31,6.57亿,2.39亿,2619万,3.92亿,111亿
淮河能源,2017-12-31,6.60亿,2.90亿,2095万,3.49亿,95.6亿
淮河能源,2016-12-31,6.33亿,2.65亿,2040万,3.47亿,67.5亿
东华科技,2018-12-31,1.23亿,-1049万,2733万,1.06亿,40.3亿
东华科技,2017-12-31,1.41亿,-1510万,2201万,1.34亿,29.1亿
东华科技,2016-12-31,1.85亿,-2018万,1931万,1.86亿,16.7亿
德力股份,2018-12-31,1.30亿,32.3万,3971万,9031万,7.95亿
