公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
慈文传媒,2018-12-31,3.45亿,3783万,2.33亿,7425万,14.4亿
慈文传媒,2017-12-31,2.21亿,6176万,9745万,6218万,16.7亿
慈文传媒,2016-12-31,1.46亿,3884万,4932万,5740万,18.3亿
富春环保,2018-12-31,1.78亿,5844万,490万,1.14亿,30.1亿
富春环保,2017-12-31,1.75亿,6376万,611万,1.05亿,33.2亿
富春环保,2016-12-31,2.18亿,5974万,697万,1.51亿,27.0亿
利欧股份,2018-12-31,11.3亿,1.86亿,4.77亿,4.65亿,123亿
利欧股份,2017-12-31,9.33亿,8569万,4.39亿,4.08亿,106亿
利欧股份,2016-12-31,7.99亿,2567万,3.41亿,4.33亿,72.9亿
南华期货,2018-12-31,--,--,--,--,46.0亿
南华期货,2017-12-31,--,--,--,--,20.4亿
南华期货,2016-12-31,--,--,--,--,7.77亿
圣龙股份,2018-12-31,1.51亿,2997万,3304万,8832万,13.1亿
圣龙股份,2017-12-31,1.38亿,2922万,4047万,6866万,15.8亿
圣龙股份,2016-12-31,2.00亿,2026万,3704万,1.43亿,12.5亿
亚太股份,2018-12-31,3.19亿,5877万,1.04亿,1.57亿,39.0亿
亚太股份,2017-12-31,2.84亿,2274万,1.05亿,1.57亿,39.6亿
亚太股份,2016-12-31,4.00亿,680万,9373万,2.99亿,34.2亿
众泰汽车,2018-12-31,20.1亿,2.04亿,11.0亿,7.08亿,148亿
众泰汽车,2017-12-31,13.7亿,1.09亿,7.48亿,5.13亿,208亿
众泰汽车,2016-12-31,2.32亿,1300万,4989万,1.69亿,16.9亿
德创环保,2018-12-31,1.32亿,1046万,3374万,8798万,7.46亿
德创环保,2017-12-31,1.15亿,682万,3666万,7173万,7.99亿
德创环保,2016-12-31,1.43亿,1017万,3599万,9656万,7.73亿
航天通信,2018-12-31,8.71亿,1.11亿,1.86亿,5.74亿,125亿
航天通信,2017-12-31,9.30亿,2.17亿,1.98亿,5.15亿,102亿
航天通信,2016-12-31,12.8亿,1.43亿,2.09亿,9.31亿,105亿
华仪电气,2018-12-31,3.51亿,1118万,2.07亿,1.33亿,15.7亿
华仪电气,2017-12-31,3.35亿,1073万,1.84亿,1.40亿,21.8亿
华仪电气,2016-12-31,3.96亿,3064万,1.83亿,1.82亿,17.7亿
星星科技,2018-12-31,6.01亿,2.39亿,6625万,2.96亿,38.2亿
星星科技,2017-12-31,4.86亿,1.78亿,5728万,2.50亿,56.5亿
星星科技,2016-12-31,5.51亿,7698万,5089万,4.24亿,49.9亿
金字火腿,2018-12-31,1.55亿,-855万,7076万,9257万,4.26亿
金字火腿,2017-12-31,1.77亿,140万,8171万,9435万,3.72亿
金字火腿,2016-12-31,3561万,-575万,2308万,1828万,1.61亿
新湖中宝,2018-12-31,24.3亿,17.0亿,3.15亿,4.20亿,172亿
新湖中宝,2017-12-31,24.5亿,14.9亿,5.17亿,4.44亿,175亿
新湖中宝,2016-12-31,20.1亿,12.0亿,4.19亿,3.90亿,136亿
梅轮电梯,2018-12-31,1.06亿,-181万,6569万,4211万,7.38亿
梅轮电梯,2017-12-31,1.05亿,-145万,7036万,3649万,7.32亿
梅轮电梯,2016-12-31,1.51亿,-250万,8854万,6487万,7.81亿
大丰实业,2018-12-31,2.05亿,-27.1万,9593万,1.10亿,18.0亿
大丰实业,2017-12-31,1.84亿,-190万,8832万,9780万,17.1亿
大丰实业,2016-12-31,2.21亿,589万,7617万,1.39亿,16.2亿
创业慧康,2018-12-31,2.79亿,754万,1.19亿,1.52亿,12.9亿
创业慧康,2017-12-31,2.59亿,-198万,1.08亿,1.52亿,11.5亿
创业慧康,2016-12-31,2.17亿,-758万,6715万,1.58亿,5.49亿
聚力文化,2018-12-31,2.42亿,1488万,1.08亿,1.19亿,34.9亿
聚力文化,2017-12-31,1.69亿,145万,8132万,8611万,28.8亿
聚力文化,2016-12-31,1.71亿,-142万,6311万,1.09亿,16.5亿
华谊兄弟,2018-12-31,15.1亿,3.29亿,6.51亿,5.28亿,38.9亿
华谊兄弟,2017-12-31,15.3亿,2.90亿,7.25亿,5.17亿,39.5亿
华谊兄弟,2016-12-31,16.4亿,2.81亿,8.03亿,5.57亿,35.0亿
浙商证券,2018-12-31,--,--,--,--,36.9亿
浙商证券,2017-12-31,--,--,--,--,46.1亿
浙商证券,2016-12-31,--,--,--,--,45.9亿
迪普科技,2018-12-31,1.81亿,-2702万,1.85亿,2348万,7.04亿
迪普科技,2017-12-31,1.83亿,-1317万,1.72亿,2422万,6.17亿
迪普科技,2016-12-31,1.99亿,201万,1.63亿,3393万,5.33亿
芯能科技,2018-12-31,1.03亿,2688万,164万,7403万,3.84亿
芯能科技,2017-12-31,6541万,985万,389万,5166万,9.36亿
芯能科技,2016-12-31,1.32亿,-131万,330万,1.30亿,11.5亿
君禾股份,2018-12-31,6335万,-143万,2534万,3944万,6.37亿
君禾股份,2017-12-31,6135万,834万,2415万,2887万,5.78亿
君禾股份,2016-12-31,7543万,116万,1882万,5545万,4.93亿
日月股份,2018-12-31,9920万,-598万,4038万,6479万,23.5亿
日月股份,2017-12-31,1.02亿,56.2万,3798万,6334万,18.3亿
日月股份,2016-12-31,1.67亿,1104万,3238万,1.24亿,16.0亿
信雅达,2018-12-31,2.88亿,295万,7844万,2.06亿,12.2亿
信雅达,2017-12-31,2.41亿,442万,8078万,1.56亿,13.2亿
信雅达,2016-12-31,5.89亿,423万,8447万,5.00亿,13.9亿
华星创业,2018-12-31,1.88亿,6062万,4649万,8119万,13.6亿
华星创业,2017-12-31,2.17亿,5181万,5832万,1.06亿,14.2亿
华星创业,2016-12-31,2.17亿,3170万,4382万,1.41亿,13.1亿
数源科技,2018-12-31,1.34亿,7150万,1818万,4479万,15.4亿
数源科技,2017-12-31,1.04亿,4069万,2741万,3635万,26.6亿
数源科技,2016-12-31,1.22亿,3954万,2116万,6140万,15.8亿
长鹰信质,2018-12-31,1.73亿,1658万,6065万,9570万,26.3亿
长鹰信质,2017-12-31,1.38亿,674万,5048万,8088万,24.2亿
长鹰信质,2016-12-31,1.75亿,37.1万,4668万,1.28亿,17.8亿
瀚叶股份,2018-12-31,2.40亿,2013万,8063万,1.39亿,9.82亿
瀚叶股份,2017-12-31,2.55亿,4238万,7912万,1.33亿,13.2亿
瀚叶股份,2016-12-31,2.15亿,1303万,4498万,1.57亿,10.1亿
天邦股份,2018-12-31,5.39亿,6507万,1.60亿,3.13亿,45.2亿
天邦股份,2017-12-31,3.95亿,920万,1.28亿,2.57亿,30.6亿
天邦股份,2016-12-31,3.77亿,2095万,1.05亿,2.51亿,23.7亿
完美世界,2018-12-31,17.5亿,1.68亿,8.80亿,7.04亿,80.3亿
完美世界,2017-12-31,17.0亿,1.90亿,7.44亿,7.62亿,79.3亿
完美世界,2016-12-31,25.9亿,123万,7.55亿,18.4亿,61.6亿
跃岭股份,2018-12-31,6523万,-306万,2844万,3985万,9.67亿
跃岭股份,2017-12-31,7631万,1398万,2555万,3678万,7.83亿
跃岭股份,2016-12-31,6175万,-1481万,2021万,5636万,6.43亿
中亚股份,2018-12-31,9998万,-1369万,6096万,5270万,7.18亿
中亚股份,2017-12-31,8697万,-142万,4958万,3880万,6.86亿
中亚股份,2016-12-31,1.25亿,-694万,4461万,8717万,6.36亿
金科文化,2018-12-31,6.76亿,1.40亿,1.71亿,3.65亿,27.3亿
金科文化,2017-12-31,1.76亿,1157万,6121万,1.04亿,14.0亿
金科文化,2016-12-31,1.18亿,-1180万,3056万,9949万,8.95亿
钱江生化,2018-12-31,5493万,311万,710万,4472万,4.43亿
钱江生化,2017-12-31,5120万,669万,812万,3639万,4.68亿
钱江生化,2016-12-31,7970万,584万,887万,6499万,4.44亿
天通股份,2018-12-31,2.65亿,2995万,6219万,1.73亿,26.1亿
天通股份,2017-12-31,2.05亿,1246万,6076万,1.32亿,21.8亿
天通股份,2016-12-31,2.47亿,-1494万,5577万,2.06亿,16.9亿
宁波联合,2018-12-31,3.47亿,5055万,1.11亿,1.85亿,40.4亿
宁波联合,2017-12-31,4.32亿,7713万,1.33亿,2.22亿,70.7亿
宁波联合,2016-12-31,3.43亿,7009万,1.24亿,1.50亿,41.8亿
华媒控股,2018-12-31,3.14亿,1048万,1.32亿,1.72亿,17.5亿
华媒控股,2017-12-31,2.80亿,102万,1.15亿,1.64亿,18.3亿
华媒控股,2016-12-31,2.59亿,-544万,1.15亿,1.49亿,18.3亿
浙大网新,2018-12-31,5.26亿,3732万,2.09亿,2.80亿,35.6亿
浙大网新,2017-12-31,4.08亿,2552万,1.58亿,2.24亿,32.5亿
浙大网新,2016-12-31,7.04亿,3182万,1.58亿,5.13亿,40.8亿
金固股份,2018-12-31,4.38亿,1890万,2.17亿,2.02亿,27.4亿
金固股份,2017-12-31,4.65亿,2922万,2.71亿,1.64亿,30.1亿
金固股份,2016-12-31,4.95亿,3850万,2.80亿,1.76亿,22.7亿
正元智慧,2018-12-31,1.10亿,633万,5246万,5110万,5.67亿
正元智慧,2017-12-31,8289万,239万,3811万,4239万,4.49亿
正元智慧,2016-12-31,1.13亿,254万,3047万,8048万,3.63亿
远方信息,2018-12-31,1.23亿,-834万,7349万,5755万,4.22亿
远方信息,2017-12-31,1.18亿,-903万,6770万,5920万,5.58亿
远方信息,2016-12-31,5876万,-2896万,2411万,6362万,2.23亿
寿仙谷,2018-12-31,3.07亿,-65.1万,2.36亿,7095万,5.11亿
寿仙谷,2017-12-31,2.15亿,158万,1.79亿,3496万,3.70亿
寿仙谷,2016-12-31,1.95亿,704万,1.39亿,4944万,3.15亿
新化股份,2018-12-31,2.02亿,1633万,7756万,1.08亿,22.3亿
新化股份,2017-12-31,1.94亿,2407万,7511万,9458万,20.3亿
新化股份,2016-12-31,1.63亿,1415万,6823万,8062万,15.9亿
韵达股份,2018-12-31,9.46亿,-1712万,1.75亿,7.89亿,139亿
韵达股份,2017-12-31,7.15亿,-600万,1.39亿,5.81亿,99.9亿
韵达股份,2016-12-31,6.62亿,87.2万,1.46亿,5.15亿,73.5亿
安正时尚,2018-12-31,6.70亿,-62.1万,5.24亿,1.47亿,16.5亿
安正时尚,2017-12-31,5.62亿,-307万,4.46亿,1.19亿,14.2亿
安正时尚,2016-12-31,5.18亿,507万,3.47亿,1.66亿,12.1亿
金石资源,2018-12-31,1.07亿,2402万,3782万,4489万,5.88亿
金石资源,2017-12-31,6401万,1399万,2174万,2829万,3.78亿
金石资源,2016-12-31,4329万,1130万,1075万,2124万,2.83亿
泰瑞机器,2018-12-31,7453万,-1585万,6662万,2375万,7.92亿
泰瑞机器,2017-12-31,8125万,923万,5093万,2109万,7.03亿
泰瑞机器,2016-12-31,7776万,-687万,4883万,3579万,5.12亿
天龙股份,2018-12-31,1.11亿,-276万,3877万,7454万,9.27亿
天龙股份,2017-12-31,1.11亿,295万,3732万,7097万,8.57亿
天龙股份,2016-12-31,1.42亿,184万,3658万,1.03亿,8.06亿
和仁科技,2018-12-31,7709万,201万,3053万,4455万,3.91亿
和仁科技,2017-12-31,5411万,1.60万,2901万,2509万,2.76亿
和仁科技,2016-12-31,7786万,-34.6万,1813万,6008万,2.36亿
苏 泊 尔,2018-12-31,31.5亿,-554万,28.1亿,3.45亿,179亿
苏 泊 尔,2017-12-31,24.6亿,-140万,22.2亿,2.40亿,145亿
苏 泊 尔,2016-12-31,22.6亿,-2144万,18.9亿,3.89亿,119亿
财通证券,2018-12-31,--,--,--,--,31.7亿
财通证券,2017-12-31,--,--,--,--,40.2亿
财通证券,2016-12-31,--,--,--,--,42.6亿
兴瑞科技,2018-12-31,1.05亿,-909万,4711万,6690万,10.2亿
兴瑞科技,2017-12-31,1.03亿,1722万,3495万,5113万,8.78亿
兴瑞科技,2016-12-31,7299万,-701万,2955万,5045万,7.24亿
春光科技,2018-12-31,4635万,-743万,1663万,3715万,5.07亿
春光科技,2017-12-31,5428万,739万,1487万,3202万,4.57亿
春光科技,2016-12-31,7062万,-209万,1262万,6009万,3.69亿
华数传媒,2018-12-31,6.72亿,-1.09亿,4.92亿,2.88亿,34.4亿
华数传媒,2017-12-31,6.79亿,-1.02亿,5.11亿,2.70亿,32.1亿
华数传媒,2016-12-31,7.23亿,-1.14亿,4.75亿,3.62亿,30.8亿
华瑞股份,2018-12-31,6290万,1464万,1351万,3475万,8.50亿
华瑞股份,2017-12-31,6768万,1989万,1630万,3149万,8.34亿
华瑞股份,2016-12-31,9282万,2021万,1346万,5915万,6.88亿
中源家居,2018-12-31,1.26亿,-1070万,1.12亿,2453万,8.88亿
中源家居,2017-12-31,1.06亿,519万,7518万,2596万,7.85亿
中源家居,2016-12-31,9277万,-411万,5543万,4146万,5.92亿
万隆光电,2018-12-31,6573万,-20.1万,3337万,3257万,3.44亿
万隆光电,2017-12-31,7079万,178万,3335万,3566万,4.18亿
万隆光电,2016-12-31,8235万,100万,3018万,5116万,3.92亿
巨星科技,2018-12-31,5.88亿,-1.44亿,4.21亿,3.12亿,59.3亿
巨星科技,2017-12-31,5.76亿,1.16亿,2.42亿,2.19亿,42.8亿
巨星科技,2016-12-31,3.13亿,-1.32亿,1.80亿,2.65亿,36.0亿
横河模具,2018-12-31,6352万,1206万,1491万,3655万,5.54亿
横河模具,2017-12-31,5509万,844万,1037万,3628万,4.92亿
横河模具,2016-12-31,5103万,363万,835万,3906万,3.99亿
杭钢股份,2018-12-31,2.84亿,-1.59亿,2741万,4.16亿,264亿
杭钢股份,2017-12-31,3.46亿,-5959万,1859万,3.87亿,279亿
杭钢股份,2016-12-31,8.55亿,1.83亿,1578万,6.57亿,197亿
三变科技,2018-12-31,1.06亿,2147万,5831万,2632万,5.71亿
三变科技,2017-12-31,1.20亿,2029万,7227万,2727万,5.36亿
三变科技,2016-12-31,1.32亿,1682万,6180万,5300万,4.84亿
中欣氟材,2018-12-31,4728万,324万,898万,3506万,4.39亿
中欣氟材,2017-12-31,4241万,727万,501万,3013万,4.01亿
中欣氟材,2016-12-31,5724万,431万,683万,4610万,3.44亿
恒生电子,2018-12-31,13.3亿,193万,8.82亿,4.46亿,32.6亿
恒生电子,2017-12-31,12.0亿,-136万,7.50亿,4.55亿,26.7亿
恒生电子,2016-12-31,20.0亿,-95.7万,6.63亿,13.3亿,21.7亿
金盾股份,2018-12-31,1.81亿,271万,1.14亿,6405万,5.53亿
金盾股份,2017-12-31,6208万,253万,3506万,2449万,4.65亿
金盾股份,2016-12-31,6689万,412万,3341万,2937万,3.44亿
亿晶光电,2018-12-31,2.87亿,1335万,1.67亿,1.07亿,35.5亿
亿晶光电,2017-12-31,2.71亿,992万,1.59亿,1.02亿,41.4亿
亿晶光电,2016-12-31,5.12亿,2899万,2.02亿,2.81亿,51.7亿
起步股份,2018-12-31,2.54亿,842万,1.76亿,6996万,14.0亿
起步股份,2017-12-31,2.16亿,179万,1.52亿,6280万,13.4亿
起步股份,2016-12-31,2.27亿,836万,1.26亿,9275万,12.3亿
三星新材,2018-12-31,2632万,-41.3万,1404万,1269万,3.27亿
三星新材,2017-12-31,2343万,3.23万,1190万,1149万,2.99亿
三星新材,2016-12-31,3122万,189万,875万,2058万,2.74亿
联络互动,2018-12-31,25.4亿,1.86亿,17.2亿,6.33亿,140亿
联络互动,2017-12-31,20.2亿,2.13亿,13.2亿,4.88亿,123亿
联络互动,2016-12-31,2.86亿,-165万,1.21亿,1.67亿,12.0亿
万马科技,2018-12-31,8016万,439万,5448万,2129万,2.99亿
万马科技,2017-12-31,8189万,52.5万,5794万,2342万,3.41亿
