公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
阿石创,2018-12-31,2357万,506万,746万,1105万,2.56亿
阿石创,2017-12-31,2381万,393万,689万,1299万,2.36亿
阿石创,2016-12-31,2329万,29.1万,498万,1802万,1.75亿
厦门信达,2018-12-31,15.0亿,6.96亿,4.96亿,3.08亿,649亿
厦门信达,2017-12-31,10.6亿,2.46亿,5.17亿,3.02亿,547亿
厦门信达,2016-12-31,11.5亿,5.16亿,3.14亿,3.24亿,403亿
兴业银行,2018-12-31,--,--,--,--,1583亿
兴业银行,2017-12-31,--,--,--,--,1400亿
兴业银行,2016-12-31,--,--,--,--,1571亿
建发股份,2018-12-31,85.1亿,18.9亿,62.5亿,3.80亿,2804亿
建发股份,2017-12-31,65.5亿,12.4亿,49.6亿,3.44亿,2186亿
建发股份,2016-12-31,45.9亿,4.80亿,37.7亿,3.36亿,1456亿
三木集团,2018-12-31,3.53亿,1.58亿,9268万,1.02亿,70.1亿
三木集团,2017-12-31,3.85亿,2.20亿,6260万,1.02亿,66.6亿
三木集团,2016-12-31,2.89亿,1.35亿,6291万,9132万,49.2亿
福日电子,2018-12-31,3.44亿,4374万,1.23亿,1.77亿,110亿
福日电子,2017-12-31,5.41亿,4244万,1.12亿,3.87亿,82.0亿
福日电子,2016-12-31,4.34亿,3132万,9201万,3.11亿,71.0亿
福建金森,2018-12-31,7916万,3938万,456万,3521万,1.68亿
福建金森,2017-12-31,8495万,4443万,490万,3562万,1.75亿
福建金森,2016-12-31,9345万,4804万,478万,4064万,1.38亿
九牧王,2018-12-31,9.48亿,-141万,7.59亿,1.90亿,27.3亿
九牧王,2017-12-31,8.61亿,832万,6.94亿,1.59亿,25.7亿
九牧王,2016-12-31,8.25亿,-621万,6.35亿,1.97亿,22.7亿
厦门空港,2018-12-31,4568万,-186万,--,4754万,17.8亿
厦门空港,2017-12-31,4803万,-12.0万,--,4815万,16.6亿
厦门空港,2016-12-31,4917万,-198万,--,5114万,15.1亿
金达威,2018-12-31,4.27亿,-1090万,1.79亿,2.59亿,28.7亿
金达威,2017-12-31,3.51亿,2814万,1.22亿,2.01亿,20.8亿
金达威,2016-12-31,3.15亿,214万,9817万,2.15亿,16.6亿
垒知集团,2018-12-31,3.19亿,-86.0万,2.10亿,1.10亿,27.2亿
垒知集团,2017-12-31,2.52亿,-47.1万,1.59亿,9311万,20.0亿
垒知集团,2016-12-31,2.53亿,42.4万,1.27亿,1.25亿,13.8亿
福建高速,2018-12-31,2.84亿,2.13亿,--,7046万,26.6亿
福建高速,2017-12-31,3.14亿,2.48亿,--,6617万,24.7亿
福建高速,2016-12-31,3.56亿,2.92亿,--,6322万,25.3亿
亿联网络,2018-12-31,1.34亿,-1710万,1.06亿,4473万,18.2亿
亿联网络,2017-12-31,1.39亿,2550万,7880万,3480万,13.9亿
亿联网络,2016-12-31,1.22亿,-3739万,5993万,9923万,9.24亿
东百集团,2018-12-31,4.31亿,6316万,2.45亿,1.23亿,30.0亿
东百集团,2017-12-31,3.28亿,2008万,2.03亿,1.05亿,38.6亿
东百集团,2016-12-31,2.98亿,228万,1.98亿,9783万,30.1亿
福耀玻璃,2018-12-31,34.2亿,-1.11亿,14.7亿,20.6亿,202亿
福耀玻璃,2017-12-31,34.9亿,4.19亿,12.7亿,18.0亿,187亿
福耀玻璃,2016-12-31,31.8亿,-3.99亿,11.8亿,23.9亿,166亿
三钢闽光,2018-12-31,5.60亿,5974万,8822万,4.12亿,362亿
三钢闽光,2017-12-31,4.86亿,1.02亿,8073万,3.03亿,317亿
三钢闽光,2016-12-31,4.24亿,1.45亿,6984万,2.09亿,141亿
东方银星,2018-12-31,1380万,-382万,194万,1568万,19.3亿
东方银星,2017-12-31,384万,-372万,25.7万,730万,3.46亿
东方银星,2016-12-31,433万,-464万,--,898万,3007万
ST冠福,2018-12-31,2.53亿,8371万,6278万,1.06亿,143亿
ST冠福,2017-12-31,1.95亿,6666万,3820万,9011万,97.4亿
ST冠福,2016-12-31,1.54亿,6127万,657万,8625万,8.87亿
火炬电子,2018-12-31,2.53亿,2895万,1.08亿,1.17亿,20.2亿
火炬电子,2017-12-31,1.82亿,1221万,7331万,9661万,18.9亿
火炬电子,2016-12-31,1.59亿,1428万,5285万,9210万,15.0亿
雪人股份,2018-12-31,2.25亿,4693万,7728万,1.01亿,13.0亿
雪人股份,2017-12-31,2.01亿,4476万,7206万,8404万,9.37亿
雪人股份,2016-12-31,1.93亿,2235万,4532万,1.25亿,8.11亿
鸿博股份,2018-12-31,1.19亿,-599万,5132万,7336万,7.06亿
鸿博股份,2017-12-31,1.32亿,408万,5751万,6995万,6.95亿
鸿博股份,2016-12-31,1.99亿,1584万,6807万,1.15亿,8.46亿
金牌厨柜,2018-12-31,3.85亿,-302万,3.14亿,7424万,17.0亿
金牌厨柜,2017-12-31,3.32亿,-218万,2.71亿,6352万,14.4亿
金牌厨柜,2016-12-31,3.12亿,174万,2.01亿,1.09亿,11.0亿
兴业证券,2018-12-31,--,--,--,--,65.0亿
兴业证券,2017-12-31,--,--,--,--,88.2亿
兴业证券,2016-12-31,--,--,--,--,75.9亿
绿康生化,2018-12-31,3291万,-160万,2083万,1368万,3.44亿
绿康生化,2017-12-31,3889万,517万,2053万,1319万,3.75亿
绿康生化,2016-12-31,4841万,-5.23万,2224万,2623万,4.01亿
龙马环卫,2018-12-31,4.33亿,-2788万,3.22亿,1.39亿,34.4亿
龙马环卫,2017-12-31,4.27亿,-698万,3.23亿,1.10亿,30.8亿
龙马环卫,2016-12-31,4.00亿,-674万,2.84亿,1.23亿,22.2亿
富春股份,2018-12-31,1.93亿,3197万,9480万,6644万,5.55亿
富春股份,2017-12-31,1.55亿,3394万,5360万,6699万,5.30亿
富春股份,2016-12-31,1.33亿,292万,2788万,1.03亿,4.53亿
中富通,2018-12-31,6326万,306万,2397万,3623万,5.48亿
中富通,2017-12-31,4595万,107万,1902万,2586万,3.90亿
中富通,2016-12-31,5339万,275万,1645万,3419万,3.30亿
国脉科技,2018-12-31,2.15亿,4180万,4839万,1.25亿,9.83亿
国脉科技,2017-12-31,2.56亿,4804万,6636万,1.42亿,15.2亿
国脉科技,2016-12-31,3.04亿,3347万,8892万,1.82亿,12.3亿
三五互联,2018-12-31,1.26亿,1806万,7178万,3622万,2.35亿
三五互联,2017-12-31,1.58亿,760万,9927万,5145万,3.26亿
三五互联,2016-12-31,1.74亿,140万,1.03亿,6961万,3.12亿
奥佳华,2018-12-31,13.5亿,-1557万,9.96亿,3.68亿,54.5亿
奥佳华,2017-12-31,11.4亿,7412万,8.13亿,2.57亿,42.9亿
奥佳华,2016-12-31,9.33亿,-4877万,6.00亿,3.82亿,34.5亿
航天发展,2018-12-31,3.43亿,1678万,7538万,2.51亿,35.2亿
航天发展,2017-12-31,2.83亿,1235万,6049万,2.11亿,24.9亿
航天发展,2016-12-31,4.56亿,325万,4548万,4.07亿,20.4亿
星云股份,2018-12-31,7443万,-31.1万,4677万,2798万,3.03亿
星云股份,2017-12-31,5437万,3563,3241万,2195万,3.09亿
星云股份,2016-12-31,6128万,13.8万,2338万,3776万,2.27亿
龙净环保,2018-12-31,7.90亿,7157万,2.20亿,4.99亿,94.0亿
龙净环保,2017-12-31,6.47亿,2738万,1.78亿,4.42亿,81.1亿
龙净环保,2016-12-31,10.3亿,1562万,1.81亿,8.35亿,80.2亿
美亚柏科,2018-12-31,4.88亿,-971万,2.51亿,2.46亿,16.0亿
美亚柏科,2017-12-31,3.85亿,-1219万,1.98亿,1.99亿,13.4亿
美亚柏科,2016-12-31,4.58亿,-656万,1.43亿,3.21亿,9.98亿
恒锋信息,2018-12-31,4141万,-58.4万,1272万,2928万,5.25亿
恒锋信息,2017-12-31,3325万,-151万,1085万,2390万,4.04亿
恒锋信息,2016-12-31,4347万,109万,836万,3401万,3.30亿
