公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
恒为科技,2016-12-31,7245万,24.3万,898万,6322万,2.48亿
飞乐音响,2018-12-31,15.8亿,2.83亿,7.24亿,5.74亿,33.0亿
飞乐音响,2017-12-31,14.1亿,1.32亿,7.77亿,4.97亿,54.4亿
飞乐音响,2016-12-31,16.0亿,1.31亿,8.05亿,6.66亿,71.8亿
格尔软件,2018-12-31,6959万,-35.9万,2684万,4310万,3.09亿
格尔软件,2017-12-31,5734万,-179万,2047万,3866万,2.72亿
格尔软件,2016-12-31,7815万,-14.1万,1595万,6234万,2.32亿
中视传媒,2018-12-31,1.02亿,-688万,3850万,7064万,8.11亿
中视传媒,2017-12-31,8302万,-697万,3291万,5707万,7.18亿
中视传媒,2016-12-31,6992万,-858万,2420万,5430万,5.15亿
龙宇燃油,2018-12-31,1.04亿,1271万,2092万,7045万,160亿
龙宇燃油,2017-12-31,4033万,-3024万,1917万,5140万,168亿
龙宇燃油,2016-12-31,8078万,2887万,2063万,3127万,159亿
摩恩电气,2018-12-31,1.06亿,3011万,2390万,5212万,5.85亿
摩恩电气,2017-12-31,8916万,2778万,1918万,4220万,4.67亿
摩恩电气,2016-12-31,1.07亿,2993万,2437万,5260万,5.01亿
市北高新,2018-12-31,1.86亿,1.22亿,395万,6029万,5.08亿
市北高新,2017-12-31,1.90亿,1.10亿,1679万,6384万,21.9亿
市北高新,2016-12-31,1.74亿,1.01亿,2261万,5048万,11.8亿
宏达新材,2018-12-31,6087万,-281万,3008万,3360万,10.8亿
宏达新材,2017-12-31,5781万,160万,2618万,3003万,9.45亿
宏达新材,2016-12-31,8347万,25.4万,2458万,5864万,6.83亿
大智慧,2018-12-31,2.46亿,-879万,8940万,1.66亿,5.94亿
大智慧,2017-12-31,3.35亿,-102万,1.24亿,2.12亿,6.38亿
大智慧,2016-12-31,9.98亿,-833万,4.96亿,5.11亿,11.3亿
世茂股份,2018-12-31,16.1亿,2.08亿,7.05亿,6.94亿,207亿
世茂股份,2017-12-31,13.7亿,1.25亿,6.12亿,6.29亿,187亿
世茂股份,2016-12-31,12.2亿,6028万,5.05亿,6.59亿,137亿
润欣科技,2018-12-31,9983万,1873万,4817万,3293万,16.9亿
润欣科技,2017-12-31,9243万,1288万,4806万,3149万,18.3亿
润欣科技,2016-12-31,9525万,-5.61万,4879万,4651万,15.4亿
顺灏股份,2018-12-31,3.34亿,3457万,1.29亿,1.70亿,20.5亿
顺灏股份,2017-12-31,3.04亿,3868万,9918万,1.66亿,19.5亿
顺灏股份,2016-12-31,3.68亿,2589万,8767万,2.54亿,18.7亿
金桥信息,2018-12-31,1.53亿,448万,9990万,4854万,8.33亿
金桥信息,2017-12-31,1.26亿,44.4万,8170万,4342万,6.73亿
金桥信息,2016-12-31,1.22亿,53.8万,6830万,5318万,5.86亿
中颖电子,2018-12-31,6610万,-309万,2243万,4676万,7.58亿
中颖电子,2017-12-31,7034万,888万,2088万,4058万,6.86亿
中颖电子,2016-12-31,1.38亿,-1430万,2021万,1.32亿,5.18亿
菲林格尔,2018-12-31,1.24亿,-204万,8058万,4506万,8.35亿
菲林格尔,2017-12-31,1.40亿,36.1万,9660万,4273万,7.96亿
菲林格尔,2016-12-31,1.37亿,561万,7697万,5463万,6.95亿
龙韵股份,2018-12-31,6550万,-530万,1124万,5956万,11.9亿
龙韵股份,2017-12-31,7478万,-555万,1391万,6642万,12.4亿
龙韵股份,2016-12-31,6828万,-338万,1168万,5998万,9.67亿
宏和科技,2018-12-31,7123万,-1113万,1444万,6792万,8.27亿
宏和科技,2017-12-31,7882万,435万,1330万,6118万,7.79亿
宏和科技,2016-12-31,1.03亿,-1093万,1666万,9737万,6.77亿
华峰超纤,2018-12-31,3.04亿,3996万,6207万,2.02亿,30.7亿
华峰超纤,2017-12-31,2.45亿,3048万,4953万,1.65亿,25.1亿
华峰超纤,2016-12-31,1.90亿,-198万,3053万,1.62亿,14.4亿
亚通股份,2018-12-31,7481万,2494万,166万,4820万,7.34亿
亚通股份,2017-12-31,6825万,1394万,858万,4574万,12.1亿
亚通股份,2016-12-31,7536万,1867万,1223万,4445万,9.25亿
同达创业,2018-12-31,1673万,-154万,316万,1511万,2040万
同达创业,2017-12-31,1773万,-155万,371万,1558万,2369万
同达创业,2016-12-31,1941万,-87.8万,591万,1437万,7560万
界龙实业,2018-12-31,2.56亿,4718万,5808万,1.50亿,13.6亿
界龙实业,2017-12-31,1.98亿,3307万,5950万,1.06亿,13.3亿
界龙实业,2016-12-31,2.30亿,3447万,7037万,1.25亿,17.3亿
上海天洋,2018-12-31,8465万,259万,5246万,2960万,5.61亿
上海天洋,2017-12-31,6606万,482万,3942万,2183万,4.55亿
上海天洋,2016-12-31,6228万,-170万,3270万,3127万,3.95亿
元祖股份,2018-12-31,9.59亿,-21.5万,8.50亿,1.10亿,19.6亿
元祖股份,2017-12-31,8.77亿,-102万,7.62亿,1.16亿,17.8亿
元祖股份,2016-12-31,8.25亿,18.9万,7.07亿,1.18亿,15.9亿
*ST游久,2018-12-31,7149万,558万,1341万,5250万,8464万
*ST游久,2017-12-31,6930万,665万,1135万,5130万,1.77亿
*ST游久,2016-12-31,1.30亿,1426万,2196万,9347万,3.08亿
海利生物,2018-12-31,1.33亿,1424万,7046万,4880万,2.55亿
海利生物,2017-12-31,1.56亿,920万,9717万,4980万,3.04亿
海利生物,2016-12-31,1.96亿,120万,1.16亿,7817万,3.43亿
天玑科技,2018-12-31,5433万,-893万,2142万,4184万,3.88亿
天玑科技,2017-12-31,6395万,-361万,2078万,4679万,3.60亿
天玑科技,2016-12-31,1.05亿,-656万,2699万,8426万,4.17亿
