公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
特锐德,2017-12-31,10.4亿,1.89亿,4.75亿,3.78亿,51.0亿
特锐德,2016-12-31,9.80亿,5455万,4.24亿,5.01亿,61.1亿
联创股份,2018-12-31,3.08亿,1106万,1.61亿,1.36亿,36.0亿
联创股份,2017-12-31,2.01亿,-747万,1.17亿,9129万,27.7亿
联创股份,2016-12-31,1.88亿,241万,1.01亿,8454万,23.3亿
民生控股,2018-12-31,4607万,73.2万,1231万,3302万,8061万
民生控股,2017-12-31,4640万,27.9万,1367万,3244万,7142万
民生控股,2016-12-31,3.46亿,1241万,2.53亿,8108万,3.29亿
浪潮软件,2018-12-31,3.86亿,12.9万,1.11亿,2.75亿,12.1亿
浪潮软件,2017-12-31,3.61亿,-72.6万,1.30亿,2.32亿,13.0亿
浪潮软件,2016-12-31,4.54亿,-341万,1.22亿,3.35亿,13.7亿
利群股份,2018-12-31,20.8亿,7342万,13.8亿,6.29亿,114亿
利群股份,2017-12-31,14.8亿,7298万,9.96亿,4.11亿,106亿
利群股份,2016-12-31,13.9亿,1.17亿,8.93亿,3.75亿,103亿
保龄宝,2018-12-31,1.81亿,1522万,1.12亿,5433万,17.3亿
保龄宝,2017-12-31,1.56亿,918万,1.02亿,4462万,15.9亿
保龄宝,2016-12-31,1.57亿,178万,9643万,5927万,13.8亿
中创物流,2018-12-31,1.16亿,-79.7万,7114万,4559万,45.1亿
中创物流,2017-12-31,1.30亿,1257万,6993万,4719万,44.6亿
中创物流,2016-12-31,1.07亿,-277万,6162万,4806万,36.2亿
丰元股份,2018-12-31,3660万,467万,1595万,1598万,2.65亿
丰元股份,2017-12-31,3327万,375万,1586万,1366万,3.21亿
丰元股份,2016-12-31,2753万,80.5万,1324万,1348万,2.56亿
中孚信息,2018-12-31,1.40亿,-168万,7331万,6819万,3.56亿
中孚信息,2017-12-31,9573万,-77.0万,5037万,4614万,2.81亿
中孚信息,2016-12-31,1.13亿,-30.5万,4315万,7056万,2.16亿
民和股份,2018-12-31,2.47亿,6929万,5512万,1.22亿,18.2亿
民和股份,2017-12-31,1.83亿,5401万,4920万,7985万,10.7亿
