公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
大港股份,2017-12-31,2.17亿,7317万,3713万,1.07亿,13.1亿
大港股份,2016-12-31,2.13亿,5474万,4301万,1.15亿,13.7亿
深南股份,2018-12-31,6853万,85.5万,1716万,5051万,1.82亿
深南股份,2017-12-31,8529万,354万,2358万,5816万,1.05亿
深南股份,2016-12-31,1.50亿,1215万,7137万,6671万,3.25亿
天龙光电,2018-12-31,4805万,153万,150万,4502万,958万
天龙光电,2017-12-31,5319万,692万,449万,4178万,3.34亿
天龙光电,2016-12-31,8627万,1137万,534万,6956万,1.32亿
立华股份,2018-12-31,4.19亿,544万,9172万,3.22亿,72.1亿
立华股份,2017-12-31,3.49亿,2043万,7136万,2.57亿,59.3亿
立华股份,2016-12-31,3.18亿,1091万,6627万,2.40亿,52.0亿
春兴精工,2018-12-31,5.70亿,1.79亿,1.16亿,2.75亿,49.3亿
春兴精工,2017-12-31,5.11亿,1.57亿,9148万,2.62亿,38.0亿
春兴精工,2016-12-31,3.20亿,3397万,7694万,2.09亿,25.4亿
麦迪科技,2018-12-31,1.17亿,455万,6460万,4747万,2.84亿
麦迪科技,2017-12-31,1.09亿,255万,6256万,4346万,2.69亿
麦迪科技,2016-12-31,1.33亿,225万,6158万,6951万,2.41亿
弘业股份,2018-12-31,3.34亿,2116万,2.05亿,1.08亿,45.1亿
弘业股份,2017-12-31,3.12亿,4077万,1.66亿,1.05亿,41.0亿
弘业股份,2016-12-31,2.41亿,727万,1.46亿,8826万,35.3亿
利通电子,2018-12-31,1.63亿,1762万,6889万,7620万,15.9亿
利通电子,2017-12-31,1.65亿,1945万,7256万,7252万,16.7亿
利通电子,2016-12-31,2.31亿,1623万,6304万,1.51亿,13.8亿
晶瑞股份,2018-12-31,1.36亿,1943万,5726万,5923万,8.11亿
晶瑞股份,2017-12-31,6396万,256万,3447万,2694万,5.35亿
晶瑞股份,2016-12-31,9033万,448万,2928万,5656万,4.40亿
海伦哲,2018-12-31,2.21亿,4266万,9329万,8528万,18.1亿
海伦哲,2017-12-31,2.10亿,2389万,9045万,9564万,15.6亿
海伦哲,2016-12-31,2.82亿,1712万,8266万,1.82亿,14.2亿
科沃斯,2018-12-31,13.4亿,-2782万,10.7亿,2.94亿,56.9亿
科沃斯,2017-12-31,10.4亿,3324万,7.27亿,2.80亿,45.5亿
科沃斯,2016-12-31,9.93亿,-2633万,5.20亿,4.99亿,32.8亿
和晶科技,2018-12-31,1.81亿,5208万,3644万,9257万,12.7亿
和晶科技,2017-12-31,1.47亿,3406万,3016万,8263万,14.3亿
和晶科技,2016-12-31,1.58亿,1446万,2415万,1.19亿,13.3亿
科森科技,2018-12-31,3.09亿,4587万,6687万,1.97亿,24.1亿
科森科技,2017-12-31,2.34亿,3618万,4826万,1.49亿,21.6亿
科森科技,2016-12-31,1.95亿,706万,3174万,1.56亿,13.0亿
光洋股份,2018-12-31,2.00亿,2408万,4261万,1.34亿,13.5亿
光洋股份,2017-12-31,2.27亿,2733万,4948万,1.50亿,14.6亿
光洋股份,2016-12-31,2.12亿,2245万,3665万,1.53亿,11.1亿
康缘药业,2018-12-31,20.8亿,4397万,18.9亿,1.50亿,38.2亿
康缘药业,2017-12-31,17.5亿,5087万,15.7亿,1.35亿,32.7亿
康缘药业,2016-12-31,17.9亿,4288万,13.4亿,4.10亿,30.0亿
南极电商,2018-12-31,1.73亿,521万,1.11亿,5680万,33.5亿
南极电商,2017-12-31,5277万,-870万,3100万,3047万,9.86亿
南极电商,2016-12-31,5716万,-1026万,2203万,4539万,5.21亿
沙钢股份,2018-12-31,2.98亿,-752万,1.00亿,2.05亿,147亿
沙钢股份,2017-12-31,2.93亿,-1861万,1.00亿,2.11亿,124亿
沙钢股份,2016-12-31,2.91亿,-208万,1.07亿,1.86亿,75.9亿
世嘉科技,2018-12-31,8455万,-53.1万,2684万,5824万,12.8亿
世嘉科技,2017-12-31,3124万,-21.2万,1070万,2075万,5.77亿
世嘉科技,2016-12-31,4288万,-105万,958万,3435万,4.97亿
幸福蓝海,2018-12-31,6.42亿,3677万,4.74亿,1.31亿,16.5亿
幸福蓝海,2017-12-31,5.56亿,-411万,4.47亿,1.13亿,15.2亿
幸福蓝海,2016-12-31,4.90亿,-310万,3.84亿,1.09亿,15.4亿
太极实业,2018-12-31,7.64亿,1.95亿,5289万,5.16亿,157亿
太极实业,2017-12-31,6.88亿,1.73亿,5021万,4.66亿,120亿
太极实业,2016-12-31,8.51亿,1.63亿,4569万,6.43亿,96.2亿
中设股份,2018-12-31,4166万,-63.6万,1299万,2931万,2.70亿
中设股份,2017-12-31,3168万,52.4万,1180万,1936万,2.32亿
中设股份,2016-12-31,4062万,103万,1041万,2917万,1.92亿
国电南自,2018-12-31,7.47亿,1.19亿,3.24亿,3.04亿,49.3亿
国电南自,2017-12-31,8.29亿,1.55亿,3.65亿,3.09亿,60.8亿
国电南自,2016-12-31,11.3亿,1.68亿,4.19亿,5.47亿,58.9亿
久吾高科,2018-12-31,6364万,4.34万,3116万,3244万,4.72亿
久吾高科,2017-12-31,4514万,-112万,2307万,2319万,2.94亿
久吾高科,2016-12-31,5946万,-135万,2018万,4064万,2.46亿
华软科技,2018-12-31,2.49亿,4275万,6816万,1.39亿,20.6亿
华软科技,2017-12-31,2.44亿,3340万,7593万,1.34亿,14.7亿
华软科技,2016-12-31,2.21亿,1250万,6531万,1.43亿,11.9亿
海辰药业,2018-12-31,4.68亿,356万,4.38亿,2656万,7.12亿
海辰药业,2017-12-31,2.42亿,39.1万,2.19亿,2257万,4.55亿
海辰药业,2016-12-31,1.32亿,173万,8586万,4398万,2.81亿
越博动力,2018-12-31,1.09亿,2751万,3347万,4809万,4.93亿
