SEM项目经理,3-5年,本科,全职,未融资,北京,18k-25k,北京八维研修学院
BI 数据开发,1-3年,本科,全职,天使轮,北京,8k-12k,快陪练
COO-首席运营官,3-5年,不限,全职,不需要融资,北京,30k-50k,希悦
APP开发Android负责人,3-5年,硕士,全职,B轮,北京,60k-80k,太古代科技
解决方案项目经理,3-5年,本科,全职,B轮,北京,10k-20k,悉见科技
高级测试工程师,5-10年,本科,全职,不需要融资,北京,20k-40k,信产集团
HRBP,5-10年,本科,全职,D轮及以上,北京,25k-45k,探探
客户顾问-北京,1-3年,本科,全职,A轮,北京,7k-14k,探迹科技
数据支持实习生,不限,不限,全职,上市公司,北京,2k-3k,人人公司
产品经理,1-3年,本科,全职,D轮及以上,北京,20k-35k,宝宝树
测试开发-leader,3-5年,本科,全职,C轮,北京,20k-40k,伴鱼口语
人工智能实验室-资深自然语言理解算法专家,3-5年,硕士,全职,未融资,北京,50k-70k,海伯高斯
bd专员,3-5年,本科,全职,C轮,北京,15k-25k,开心网
日本线路规划,1-3年,不限,全职,B轮,北京,8k-12k,世界邦
NLP算法专家,5-10年,硕士,全职,B轮,北京,40k-80k,太古代科技
深度学习主任科学家,5-10年,博士,全职,B轮,北京,40k-80k,悉见科技
测试开发工程师,3-5年,本科,全职,不需要融资,北京,18k-35k,信产集团
UX设计师,3-5年,本科,全职,D轮及以上,北京,20k-30k,探探
销售经理-北京,5-10年,本科,全职,A轮,北京,10k-20k,探迹科技
前端开发工程师,1-3年,本科,全职,C轮,北京,30k-50k,伴鱼口语
自然语言处理高级工程师,1-3年,本科,全职,未融资,北京,40k-60k,海伯高斯
内容运营实习生,不限,本科,全职,B轮,北京,3k-6k,云舒写教育科技
物理教研员（初中、高中）,3-5年,本科,全职,上市公司,北京,10k-15k,好未来
C++ 开发工程师,3-5年,本科,全职,B轮,北京,20k-30k,融云
产品经理,1-3年,本科,全职,不需要融资,北京,10k-20k,考满分
web前端开发专家,3-5年,本科,全职,未融资,北京,25k-50k,杨宝兴经济咨询中心
软件实施总监（项目管理总监）,5-10年,本科,全职,不需要融资,北京,25k-50k,捷通华声
iOS开发工程师,1-3年,本科,全职,不需要融资,北京,15k-30k,NewsJet
公关主管,应届毕业生,本科,全职,B轮,北京,10k-15k,易汇众盟
高级java开发工程师,3-5年,本科,全职,B轮,北京,20k-40k,悉见科技
高级产品经理,5-10年,本科,全职,不需要融资,北京,25k-50k,信产集团
产品经理,3-5年,本科,全职,D轮及以上,北京,25k-45k,探探
服务器开发工程师,3-5年,本科,全职,C轮,北京,30k-50k,伴鱼口语
小语种机器翻译算法工程师,1-3年,硕士,全职,未融资,北京,25k-50k,海伯高斯
文案策划,3-5年,本科,全职,B轮,北京,10k-15k,融云
活动运营实习生,不限,本科,全职,B轮,北京,3k-6k,云舒写教育科技
产品经理,5-10年,本科,全职,未融资,北京,40k-60k,杨宝兴经济咨询中心
高级linux实施工程师,1-3年,本科,全职,不需要融资,北京,10k-20k,捷通华声
