c++开发工程师,1-3年,本科,全职,上市公司,西安,5k-8k,德卡科技
运营专员,1-3年,大专,全职,不需要融资,西安,3k-5k,听雪网络
高级客户经理（银行）-01514,5-10年,本科,全职,C轮,西安,10k-20k,同盾科技
销售代表,不限,不限,全职,未融资,西安,4k-8k,优露清
嵌入式驱动工程师,3-5年,本科,全职,上市公司,西安,10k-15k,润和软件
英文文案策划,不限,不限,全职,未融资,西安,3k-5k,美唐盛樂
PHP研发工程师,1-3年,不限,全职,未融资,西安,6k-8k,睿智科技
php后端,不限,不限,全职,不需要融资,西安,10k-12k,西安橡木电子商务
产品运营,1-3年,大专,全职,未融资,西安,4k-8k,微律科技
物流主管,不限,大专,全职,天使轮,西安,4k-8k,陕西雷风商贸有限公司
项目申报专员,3-5年,本科,全职,未融资,西安,4k-6k,天天向上
经理助理,不限,不限,全职,上市公司,西安,3k-6k,中国人寿收展三部
销售工程师（西安）,不限,本科,全职,未融资,西安,5k-9k,东方盛行
android应用开发工程师,1-3年,本科,全职,上市公司,西安,7k-10k,德卡科技
C++开发工程师,1-3年,本科,全职,上市公司,西安,8k-15k,润和软件
活动运营,不限,本科,全职,未融资,西安,3k-5k,美唐盛樂
前端设计开发,不限,不限,全职,未融资,西安,6k-8k,睿智科技
java开发工程师,3-5年,本科,全职,未融资,西安,10k-18k,天天向上
综合金融规划师,不限,不限,全职,上市公司,西安,5k-10k,中国人寿收展三部
西北大区销售总监,5-10年,大专,全职,B轮,西安,12k-20k,纳里健康
销售经理（西安）,不限,大专,全职,B轮,西安,8k-15k,深瞐科技
LabView工程师,不限,本科,全职,None,西安,5K-10K,明天仪器
数据库开发（高新区）,1-3年,本科,全职,不需要融资,西安,8k-12k,德惟科技
Java开发工程师（西安，初中高级）,不限,本科,全职,上市公司,西安,7k-14k,东华
学前教师,1-3年,大专,全职,A轮,西安,3k-5k,贝尔机器人儿童学院
销售经理,3-5年,不限,全职,未融资,西安,5k-10k,熙淳智慧档案
设计师,1-3年,大专,全职,未融资,西安,3k-5k,西安壹咖品牌管理有限公司
客服专员,不限,不限,全职,不需要融资,西安,3k-6k,保晟教育
LinuxC/C++开发工程师,1-3年,本科,全职,上市公司,西安,8k-16k,润和软件
钢琴老师,不限,本科,兼职,未融资,西安,4k-8k,美唐盛樂
运维工程师,不限,不限,全职,未融资,西安,3k-4k,睿智科技
销售经理,3-5年,大专,全职,未融资,西安,4k-6k,天天向上
大病服务专员,不限,不限,全职,上市公司,西安,3k-6k,中国人寿收展三部
咨询顾问,1年以下,大专,全职,A轮,西安,3k-6k,贝尔机器人儿童学院
新媒体运营实习生,不限,大专,实习,未融资,西安,1k-2k,西安壹咖品牌管理有限公司
城市经理-西安-00410,5-10年,大专,全职,B轮,西安,10k-13k,领健信息
前台行政,1-3年,大专,全职,未融资,西安,3k-4k,壹唯医
销售代表,1-3年,本科,全职,未融资,西安,4k-5k,西安瑞仁
java开发实习生,不限,大专,全职,未融资,西安,3k-5k,云收网络
物联网技术总工,5-10年,本科,全职,不需要融资,西安,10k-20k,大宽物联
c# net开发程序员,1-3年,大专,全职,不需要融资,西安,6k-8k,保晟教育
中级PHP开发工程师-西安-18831,3-5年,本科,全职,D轮及以上,西安,10k-15k,优信集团
高级java开发工程师,5-10年,本科,全职,上市公司,西安,20k-25k,活跃网络
课程销售/市场运营,不限,大专,全职,未融资,西安,3k-5k,美唐盛樂
客服专员,不限,不限,全职,未融资,西安,3k-4k,睿智科技
产品经理,3-5年,本科,全职,未融资,西安,8k-12k,天天向上
团队运营主管,不限,不限,全职,上市公司,西安,8k-15k,中国人寿收展三部
学龄教师（乐高机器人教师）,1-3年,本科,全职,A轮,西安,4k-6k,贝尔机器人儿童学院
新媒体运营,不限,大专,全职,未融资,西安,3k-5k,西安壹咖品牌管理有限公司
客户成功经理（软件实施）-西安-00380,1-3年,本科,全职,B轮,西安,7k-10k,领健信息
软件开发实习生(接受0基础),不限,大专,全职,未融资,西安,4k-6k,云收网络
嵌入式工程师\物联网工程师,1-3年,本科,全职,不需要融资,西安,6k-12k,大宽物联
高级php研发工程师-西安-18830,5-10年,本科,全职,D轮及以上,西安,15k-20k,优信集团
校园大使,不限,不限,实习,上市公司,西安,1k-2k,中国人寿西安分公司
商务专员,不限,本科,全职,上市公司,西安,4k-8k,西安领跑
