上海市长宁区教育局基建管理站,2019年仙霞路第二幼儿园总分园全项目大修工程,茅台路460弄32号，茅台路255弄14号,上海宝文市政工程股份有限公司,470万元,2019-05-31 09:30:00
上海闵行城市建设投资开发有限公司,闵行区马桥完中项目（O2C-03地块）,位于马桥镇，东至中裕路，南近北松公路，西近昆阳路，北至用地红线。,上海建工四建集团有限公司,23294万元,2019-07-02 14:00:00
上海市徐汇区民防办公室,徐汇区华石路公共绿地民防工程,华石路北侧公共绿地地下空间，东至三汇路，南至华石路，西至田川路，北至尚汇豪庭,上海市基础工程集团有限公司,1914万元,2019-06-24 09:30:00
上海现代制药股份有限公司,新型制剂产业战略升级项目,上海市浦东新区建陆路378号,上海建工五建集团有限公司,39773万元,2019-06-12 13:30:00
上海沪洋高速公路发展有限公司,S2沪芦高速公路大修工程1标,S2沪芦高速公路K27+500～K69+809,中铁四局集团第四工程有限公司,11684万元,2019-06-20 10:30:00
上海闵行城市建设投资开发有限公司,闵行区淡水河四期（银都路-六磊塘）河道整治工程,银都路-六磊塘,上海水务建设工程有限公司,3810万元,2019-06-21 09:30:00
上海市徐汇区交通管理中心,徐汇区非机动车停车点改造工程（一期）1标段,武康路、湖南路、天平路等163条道路,上海汇众建设管理有限公司,1126万元,2019-07-10 09:30:00
上海公安学院,浦东校区大礼堂、新行政楼修缮工程二标段（新行政楼）,崇景路100号（3幢、40幢）,上海秋元华林建设集团有限公司,758万元,2019-06-10 14:30:00
上海马桥城市投资建设管理有限公司,中青路207号厂房及办公用房装修工程,中青路207号,上海开天建设（集团）有限公司,3885万元,2019-06-24 13:30:00
上海市徐汇区建设和交通委员会,宣威路（规划一路-武宣路）道路新建工程,西起规划一路，东至武宣路,上海徐汇市政工程有限公司,2862万元,2019-06-24 09:30:00
上海汇金百货虹桥有限公司,上海汇金百货虹桥店装修工程,天山路900号101室等,华亮建设集团股份有限公司,2028万元,2019-06-26 10:00:00
上海市奉贤区四团镇社区事务受理服务中心,奉贤区四团镇生活驿站装修工程,四团镇四新街17号,上海锦循建筑工程有限公司,568万元,2019-06-06 10:00:00
上海市宝山区市政工程管理中心,宝山区扬尘控制重点监管区域专项整治工程III标段,上海市宝山区宝杨路等43条道路及1座大桥,上海协翔市政工程有限公司,67万元,2019-06-20 13:30:00
上海市长宁区教育局基建管理站,2019年辅读学校教学楼大修工程,虹古路410弄9号,上海咸晟集团有限公司,953万元,2019-06-12 09:30:00
上海市浦东新区书院镇人民政府,书院镇劣Ⅴ类水体综合整治工程,书院镇域内,上海金地工程勘察有限公司,195万元,2019-06-24 10:00:00
上海脑科学与类脑研究中心,上海脑科学与类脑研究中心装修工程项目,张江高科技园区集慧路193号12号楼1-5层及海科路333号C座3层,上海建溧建设集团有限公司,1493万元,2019-06-20 10:00:00
上海公路投资建设发展有限公司,浦星公路（南行港路-人民塘路）改建工程,上海市奉贤区，北起南行港路，南至人民塘路,"上海山南勘测设计有限公司,中交第一公路勘察设计研究院有限公司,同济大学建筑设计研究院（集团）有限公司",8361万元,2019-06-24 09:30:00
上海市虹口区绿化管理事务中心,虹口区建国七十周年绿化景观保障项目（绿地提升与整治）,海宁路（河南北路-溧阳路）、周家嘴路（安国路-大连路）、三号线轻轨沿线（东宝兴路-三门路）、逸仙路高架（曲阳路-三门路）、东大名路杨树浦路（武昌路-大连路）,上海园林绿化建设有限公司,1821万元,2019-06-24 09:00:00
上海茸北工业经济发展有限公司,松江区中创路 (卖花桥路-现状道路 )新建工程(一标段 ),上海市松江区中山街道工业园,上海开天建设（集团）有限公司,1458万元,2019-06-21 09:30:00
上海市宝山区体育局,宝少体体育馆及宿舍楼修缮工程,共康东路188号宝山区少年儿童业余体育学校（宝少体）内,南京国豪装饰安装工程股份有限公司,581万元,2019-06-18 13:30:00
青浦区华新镇嵩山村村民委员会,华新镇嵩山村便民服务中心装修工程,青浦区华新镇嵩山村,南京三惠建设工程股份有限公司,385万元,2019-06-18 14:00:00
上海市浦东新区惠南镇人民政府,惠南镇劣Ⅴ类水体综合整治工程,惠南镇区域内,上海宏波工程咨询管理有限公司,440万元,2019-06-20 14:00:00
上海市浦东新区惠南镇人民政府,惠南镇劣Ⅴ类水体综合整治工程,惠南镇区域内,上海山南勘测设计有限公司,106万元,2019-06-24 13:30:00
上海淀山湖新城发展有限公司,环意自行车赛沿途环境整治工程,浦区复兴路延伸段、绿湖路、复兴路、绿洲路、淀山湖大道、珠湖路、大淀湖环路、课植园路,上海丁盈建设工程有限公司,726万元,2019-06-20 14:00:00
上海市宝山区市政工程管理中心,长逸路（淞南路—长江南路）道路大修工程,上海市宝山区长逸路,上海方天建设（集团）有限公司,680万元,2019-06-24 09:30:00
上海市崇明区公路管理所,长征公路养护维修工程,港西,上海新河市政建设有限公司,1227万元,2019-06-24 09:45:00
上海市嘉定区安亭镇人民政府,嘉定区东方瑞仕幼儿园校舍维修工程,安研路55号（总部），嘉定区南安路155号（分部）,上海绿盛建筑安装工程有限公司,595万元,2019-06-20 14:00:00
上海嘉定工业区管理委员会,嘉定区南苑中学校舍维修工程,嘉定区普惠路350号,上海忠辰建设工程有限公司,621万元,2019-06-21 13:30:00
国网上海市电力公司,朱松220千伏输变电工程（土建、变电）,金山工业区大道北侧、松卫南路东侧,上海送变电工程有限公司,9928万元,2019-06-18 09:30:00
上海鑫置置业有限公司,金山新城G4（JSC1-0402单元1-14-02、1-14-09）地块动迁安置房项目,"项目基地位于金山区515街道9,11,8街坊P1，P2宗地（东至海芙路，西至杭州湾大道，南至龙航路，北至龙堰路）",上海建工一建集团有限公司,76399万元,2019-06-21 09:30:00
国网上海市电力公司,展祥110千伏输变电工程（土建、变电）,罗北路北侧、展祥路东侧,华东送变电工程有限公司,2314万元,2019-06-14 10:30:00
上海天然气管网有限公司,五号沟LNG站专用岸段海塘达标建设工程,浦东新区曹路镇人民塘路485号五号沟LNG站专用岸段海塘，里程桩号为26+187-26+587。,上海市水利工程集团有限公司,1176万元,2019-07-04 09:30:00
上海莘庄城市投资建设发展有限公司,明星学校2019暑期维修项目,黎安路339号,上海栋煜建设有限公司,585万元,2019-06-19 13:30:00
上海市浦东新区大团镇人民政府,大团镇农村污水治理工程（一期）,大团镇辖区内扶栏村、果园村、赵桥村、周埠村、团新村、龙树村,"安徽工程勘察院,上海南汇建工建设（集团）有限公司,上海市城市建设设计研究总院（集团）有限公司",34609万元,2019-07-01 09:30:00
上海市青浦区徐泾镇人民政府,徐泾镇2019年垃圾分类设施改造工程,青浦区徐泾镇安盛花园、二联佳苑、高富丽苑等共计57个居民小区,上海宝冶集团有限公司,995万元,2019-06-24 09:30:00
上海崇明水务建设管理有限公司,堡镇水厂深度处理改造工程,堡镇,上海水业设计工程有限公司,198万元,2019-06-21 09:45:00
上海市排水管理处,保德路（岭南路~安业路、阳曲路~阳泉路）排水管道预防性修复工程,保德路（岭南路~安业路、阳曲路~阳泉路）,上海弘韬建设发展有限公司,491万元,2019-06-24 15:00:00
上海西虹桥商务开发有限公司,洋泾港(龙联路-崧泽大道北新开河)河道整治工程,西虹桥商务区,青岛瑞源工程集团有限公司,370万元,2019-06-21 10:00:00
上海市宝山区市政工程管理中心,湄浦路（克山路—铁路）道路大修工程,上海市宝山区湄浦路,上海金山公路建设有限公司,746万元,2019-06-25 09:30:00
上海市莘庄工业区经济技术发展有限公司,申南路515号A、D座装修工程项目,上海市闵行区申南路515号,上海奉贤建筑设计有限公司,307万元,2019-06-21 13:30:00
上海市排水管理处,阳泉路（保德路~汾西路）排水管道预防性修复工程,阳泉路（保德路~汾西路）,上海华地建设工程有限公司,916万元,2019-06-24 13:45:00
上海市嘉定区徐行镇人民政府,嘉定区徐行小学校舍维修工程,勤学路58号,上海华地建设工程有限公司,558万元,2019-06-21 14:30:00
上海鲁郡置业有限公司,上海市嘉定区云翔拓展大居26A-11A项目,云翔拓展大居,"华东建筑设计研究院有限公司,上海天功建筑设计有限公司",723万元,2019-06-25 10:00:00
上海梅陇城市建设投资发展有限公司,2019年梅陇镇镇级道路中修工程-景彩路（外环线-罗阳路）,景彩路（外环线-罗阳路）,红阳建工集团有限公司,411万元,2019-07-04 09:00:00
上海市嘉定区菊园新区管理委员会,嘉定区教育学院校舍维修工程,嘉行公路601号,上海宝文市政工程股份有限公司,888万元,2019-07-04 09:30:00
上海梅陇城市建设投资发展有限公司,2019年梅陇镇镇级道路中修工程-罗阳路西段（梅陇西路-景彩路）,罗阳路西段（梅陇西路-景彩路）,红阳建工集团有限公司,273万元,2019-07-04 09:00:00
上海梅陇城市建设投资发展有限公司,2019年梅陇镇镇级道路中修工程-景福路（外环线-罗阳路）,景福路（外环线-罗阳路）,红阳建工集团有限公司,610万元,2019-07-04 09:00:00
上海轨道交通十八号线发展有限公司,上海轨道交通18号线工程装修、安装3标（沈梅路站～繁荣路站区间、繁荣路站、繁荣路站～周浦站区间、周浦站、周浦站～沪南公路站区间）,长江南路~航头,"中铁五局集团建筑工程有限责任公司,中铁五局集团电务工程有限责任公司",9272万元,2019-09-19 09:00:00
上海临港松江高新产业发展有限公司,上海临港松江高新产业发展有限公司创意中心新建生产及辅助用房项目,松江临港科技城东至高新二路、西至四马塘、南至高科一路、北至庙泾,河北建设集团股份有限公司,11051万元,2019-09-09 13:30:00
上海奉贤南桥新城建设发展有限公司,奉贤新城中央生态林地一期抚育工程,东至金海公路，西至望园路，北至金齐路以南，南至航南公路以北。,上海园林（集团）有限公司,3717万元,2019-09-18 14:00:00
上海市机关事务管理局,上海市第三中级人民法院 上海市人民检察院第三分院 上海金融法院等新建综合业务用房项目,浦东新区龙阳路枢纽地块04-10内,上海建工二建集团有限公司,33485万元,2019-08-20 09:30:00
上海市松江区石湖荡镇人民政府,石湖荡社区卫生服务中心及松江区院前急救石湖荡分站工程,上海市松江区延寿路以东、育新路以南、长衫港以西、规划四路以北的18-02地块。,"上海建旗建筑工程设计有限公司,上海方欣岩土工程有限公司",376万元,2019-08-14 13:30:00
上海市浦东新区大团镇人民政府,大团镇农村污水治理工程（三期）,大团镇辖区内车站村、海潮村、金园村、金桥村、三墩社区、大团镇区,"安徽工程勘察院,上海南汇建工建设（集团）有限公司,上海市城市建设设计研究总院（集团）有限公司",35040万元,2019-07-01 10:30:00
上海市浦东新区大团镇人民政府,大团镇农村污水治理工程（二期）,大团镇辖区内邵村、团西村、镇南村、邵宅村、金石村、园艺村,"上海南汇建工建设（集团）有限公司,安徽工程勘察院,上海市城市建设设计研究总院（集团）有限公司",34618万元,2019-07-01 10:00:00
华东师范大学,中山北路校区工会修缮工程,中山北路3663号,南京华典建设有限公司,323万元,2019-06-24 14:00:00
上海市宝山区绿化和市容管理局,宝山区城市绿色步道示范段四期工程改建,上海市宝山区吴淞街道、杨行镇、大场镇、顾村镇,上海经纬建筑规划设计研究院股份有限公司,66万元,2019-07-01 13:30:00
上海市静安区彭浦镇社区卫生服务中心,彭浦镇社区卫生服务中心过渡用房装修工程,平陆路273、275、277号,上海浙峰建设发展有限公司,671万元,2019-06-24 13:30:00
中国民用航空上海航空器适航审定中心,大型客机适航审定协同工作系统及实验室室内装修,上海市徐汇区云锦路600号航汇大厦3楼西翼（1-9轴）、2楼西翼（1-9轴）和裙楼模拟机房（1-2楼）,"上海市建工设计研究总院有限公司,上海申宝建筑工程有限公司",2452万元,2019-07-01 09:30:00
上海元景投资管理有限公司,33A-01A幼儿园新建工程,项目位于闵行区马桥镇，地块东至规划绿地，南至规划用地，西至富国路，北至银康路,华东建筑设计研究院有限公司,98万元,2019-07-02 14:00:00
上海梅陇城市建设投资发展有限公司,2019年梅陇镇镇级道路中修工程-罗阳路东段（莲花南路-规划龙中路）,罗阳路东段（莲花南路-规划龙中路）,红阳建工集团有限公司,900万元,2019-07-04 09:00:00
上海梅陇城市建设投资发展有限公司,2019年梅陇镇镇级道路中修工程-龙里路（外环线-罗阳路）,龙里路（外环线-罗阳路）,红阳建工集团有限公司,610万元,2019-07-04 09:00:00
