技术专员,陕西卓飞电子商务有限公司,3-6千/月,西安-未央区,1年经验,大专,招3人,04-16发布,不加班|创业公司|五险一金|员工旅游|专业培训|年底双薪|定期团建|带薪休假
市场推广-YQL004,杭州边锋网络技术有限公司,6-8千/月,西安-新城区,3-4年经验,大专,招2人,04-16发布,
中国平安电话销售专员（含19实习生）,中国平安人寿保险股份有限公司陕西分公司,4.5-6千/月,西安-雁塔区,无工作经验,大专,招20人,04-16发布,五险一金|补充公积金|免费班车|定期体检|绩效奖金|专业培训|补充医疗保险|弹性工作
房产销售（猎聘房产千里马）,玛雅房屋雅荷城市花园,4.5-6千/月,西安-未央区,无工作经验,初中及以下,招10人,04-16发布,
精品酒店开发经理,北京路客互联网科技有限公司,0.8-1.6万/月,西安,2年经验,大专,招若干人,04-16发布,五险一金|弹性工作|绩效奖金
月入过万玛雅直聘销售,玛雅房屋雅荷城市花园,3-8千/月,西安-未央区,无工作经验,初中及以下,招若干人,04-16发布,
加入玛雅月薪上万不是梦,玛雅房屋雅荷城市花园,4.5-6千/月,西安-未央区,无工作经验,初中及以下,招10人,04-16发布,
房产销售底薪+高提成,玛雅房屋雅荷城市花园,4.5-6千/月,西安-未央区,无工作经验,初中及以下,招若干人,04-16发布,
玛雅房屋高薪聘请销售精英,玛雅房屋雅荷城市花园,4.5-6千/月,西安-未央区,无工作经验,初中及以下,招10人,04-16发布,
二手房经纪人,玛雅房屋雅荷城市花园,4.5-6千/月,西安-未央区,无工作经验,初中及以下,招10人,04-16发布,
诚聘销售精英,玛雅房屋雅荷城市花园,4.5-6千/月,西安-未央区,无工作经验,初中及以下,招10人,04-16发布,
电话销售经理,中国平安人寿保险股份有限公司陕西分公司,4.5-6千/月,西安-雁塔区,无工作经验,大专,招若干人,04-16发布,五险一金|专业培训|周末双休|绩效奖金|全勤奖|高温补贴|节日福利|带薪年假
急聘培训机构校长（高福利+分红）,西安华尔顿英语培训学校有限公司,0.8-1万/月,西安-未央区,2年经验,中专,招若干人,04-16发布,五险一金|员工旅游|交通补贴|餐饮补贴|专业培训|绩效奖金|年终奖金|弹性工作
