IDC运维工程师,云网安信（北京）科技有限公司,4-8千/月,廊坊|3-4年经验|中专|招1人|05-12发布,五险一金|补充医疗保险|提供食宿|定期体检
运维工程师-南礼士路-ERP,北京联想利泰软件有限公司,0.8-1万/月,北京-西城区|3-4年经验|本科|招5人|05-12发布,五险一金|餐饮补贴|专业培训|弹性工作
高级设施运维工程师（机电、制冷、空调）,北京世纪互联宽带数据中心有限公司,0.8-1万/月,北京-朝阳区|无工作经验|中专|招若干人|05-11发布,五险一金|补充医疗保险|员工旅游|交通补贴|通讯补贴|绩效奖金|定期体检
系统运维工程师,北京世奥倍特科技有限公司,0.8-1万/月,北京-东城区|无工作经验|招2人|05-11发布,
核心机房运维主管,北京古北水镇旅游有限公司,6-8千/月,北京-密云区|1年经验|大专|招1人|05-11发布|计算机应用 计算机网络,五险一金|绩效奖金|年终奖金|员工旅游|专业培训|弹性工作
系统运维工程师（银行方向）（服务二1906）,北京南天软件有限公司,1-1.5万/月,北京|2年经验|本科|招5人|05-13发布,五险一金|补充医疗保险|专业培训|年终奖金|定期体检|工会福利
机房运维工,北京古北水镇旅游有限公司,3.8-5千/月,北京-密云区|1年经验|高中|招2人|05-11发布|普通话良好|测控技术与仪器,五险一金|绩效奖金|年终奖金|免费班车|餐饮补贴
DBA数据库运维工程师,云网安信（北京）科技有限公司,1-1.6万/月,北京-朝阳区|3-4年经验|大专|招1人|05-13发布,五险一金|做五休二|绩效奖金
银行应用运维工程师（服务二1908）,北京南天软件有限公司,1-1.5万/月,北京|2年经验|本科|招5人|05-13发布,五险一金|补充医疗保险|专业培训|年终奖金|定期体检|工会福利
运维工程师（服务二1912）,北京南天软件有限公司,0.7-1.4万/月,北京-西城区|3-4年经验|本科|招3人|05-13发布,五险一金|定期体检|年终奖金|带薪年假|节日福利
网站运营维护,北京元泰美康科技有限公司,0.8-1万/月,北京-朝阳区|1年经验|大专|招若干人|03-27发布|计算机信息管理 计算机科学与技术,五险一金|餐饮补贴|周末双休|住房补贴
工业内窥镜市场开拓,奥林巴斯（北京）销售服务有限公司,10-17万/年,北京-朝阳区|无工作经验|本科|招1人|03-27发布,做五休二|周末双休|带薪年假|五险一金|免费班车|节日福利|通讯补贴|专业培训
大数据开发工程师,民航数据通信有限责任公司,10-30万/年,北京|无工作经验|招若干人|03-28发布,交通补贴|绩效奖金|定期体检|通讯补贴|补充医疗保险|五险一金|餐饮补贴|员工俱乐部
OA实施工程师中级,北京恒信志远科技有限公司,1-1.6万/月,北京-东城区|无工作经验|招10人|03-28发布,五险一金|交通补贴|餐饮补贴|通讯补贴|周末双休|带薪年假
软件维护工程师,北京利宇科技有限公司,4-5千/月,北京-丰台区|无工作经验|大专|招若干人|03-28发布,绩效奖金|年终奖金|员工旅游
BI开发岗,杭州锐致商务咨询有限公司,1.2-2万/月,北京|2年经验|本科|招若干人|03-28发布,节日福利|专业培训|五险一金|补充医疗保险|环境好|平台大
质量管理岗,长安新生（深圳）金融投资有限公司,0.8-1.5万/月,北京-朝阳区|3-4年经验|本科|招1人|03-28发布,五险一金|补充医疗保险|年终奖金|周末双休|节日福利|专业培训|带薪年假|高温补贴
数据库工程师(职位编号：20170517002),北京神州宏图科技有限公司,0.6-1.2万/月,北京-海淀区|2年经验|招10人|03-29发布,五险一金|绩效奖金|年终奖金|定期体检|餐饮补贴|通讯补贴|交通补贴|员工旅游
总经理助理,北京鑫星伊顿技术服务股份有限公司,4.5-6千/月,北京-海淀区|1年经验|大专|招1人|03-29发布,五险一金|餐饮补贴|补充医疗保险|通讯补贴|定期体检
电气工程师,科特贝德机电设备（北京）有限公司,0.7-1.4万/月,北京-东城区|2年经验|大专|招100人|03-29发布,五险一金
ERP工程师,北京慧博融信科技有限公司,1.4-2万/月,北京|3-4年经验|大专|招2人|03-29发布,
软件平台管理工程师,中国民航信息集团有限公司,,北京|2年经验|本科|招1人|03-29发布,
客服专员,深圳市博安达信息技术股份有限公司,5-7千/月,北京-海淀区|无工作经验|招1人|03-29发布,五险一金|绩效奖金|年终奖金|股票期权
系统工程师,北京卡讵人才服务有限公司,0.8-1.1万/月,北京|1年经验|大专|招1人|03-29发布,五险一金|绩效奖金|补充医疗保险|带薪年假|节日福利|加班补贴
SAP BO顾问,北京华园企程科技有限公司,1-2万/月,北京-海淀区|2年经验|本科|招2人|03-30发布,五险一金|餐饮补贴|通讯补贴|年终奖金
网络管理员,北京小翼光宽科技有限公司,4-6千/月,北京-海淀区|无工作经验|大专|招1人|03-30发布,五险一金|绩效奖金|弹性工作|免费零食|带薪培训|扁平管理|地铁周边|氛围好|节日礼物|生日Part
信息技术应用岗,国家卫生健康委流动人口服务中心,6-8千/月,北京-海淀区|无工作经验|本科|招1人|03-30发布,周末双休|五险一金|交通补贴|餐饮补贴|住房补贴|高温补贴|通讯补贴|加班补贴|带薪年假|绩效奖金
文案策划,北京范天使教育咨询有限公司,0.8-1万/月,北京-朝阳区|无工作经验|招若干人|03-30发布,
java开发工程师（个推）,搜狐视频,1-2万/月,北京-海淀区|2年经验|本科|招1人|03-20发布,
网络工程师（北京）,深圳市小小金融服务有限公司,4-6千/月,北京|1年经验|中专|招2人|03-20发布,
Python开发工程师,大连东软思维科技发展有限公司,1-1.5万/月,北京-海淀区|2年经验|本科|招2人|03-20发布,五险一金|补充医疗保险|年终奖金|带薪年假|节假日福利|周末双休
实施交付工程师,北京信加科技有限公司,5-8千/月,北京-大兴区|2年经验|大专|招若干人|03-20发布,五险一金|餐饮补贴|专业培训|绩效奖金
IT工程师,北京智诚合创科技有限公司,5.9-6.9千/月,北京-海淀区|2年经验|大专|招1人|03-21发布,五险一金|交通补贴|餐饮补贴|单双休
网络工程师,北京北广影联传媒科技有限公司,1-1.5万/月,北京-朝阳区|3-4年经验|本科|招1人|03-21发布,年终奖金|绩效奖金|专业培训|定期体检|餐饮补贴|交通补贴|周末双休|五险一金|免费午餐|弹性工作
技术支持工程师,百望股份有限公司,1-1.5万/月,北京-海淀区|2年经验|大专|招1人|03-21发布,周末双休|五险一金|交通补贴|餐饮补贴|通讯补贴|节日福利|独角兽企业
基础架构安全负责人,北京伟才光辉科技有限公司,5-7万/月,北京-朝阳区|5-7年经验|本科|招2人|03-21发布,
技术总监,北京优识精准营销管理咨询有限公司,2.5-3万/月,北京-朝阳区|5-7年经验|本科|招1人|03-22发布,五险一金|员工旅游|餐饮补贴|年终奖金|交通补贴|通讯补贴|免费体检|创意团建|生日红包|专业培训
crm系统管理员,太平洋联盟（中国）,0.7-1万/月,北京-丰台区|3-4年经验|大专|招1人|03-22发布,五险一金|通讯补贴|专业培训|出国机会|绩效奖金|年终奖金
项目经理,医学界,1-1.5万/月,北京-东城区|2年经验|大专|招1人|03-22发布,五险一金|补充医疗保险|员工旅游|交通补贴|年终奖金|绩效奖金|专业培训|通讯补贴|餐饮补贴
新媒体运营专员,北京西斯互动广告有限公司,6-8千/月,北京-朝阳区|1年经验|大专|招2人|03-22发布,做五休二|周末双休|带薪年假|五险一金|专业培训|节日福利|全勤奖|绩效奖金|餐饮补贴|交通补贴
技术总监（php),北京百通世纪科技有限公司,3-4万/月,北京-海淀区|无工作经验|本科|招1人|03-22发布,
集团公司财务共享中心副主任,中铁置业集团有限公司,2.5-3万/月,北京|无工作经验|招若干人|03-22发布,
Java开发工程师,北京以诺视景空间设计有限公司,1.5-2万/月,北京-朝阳区|3-4年经验|本科|招1人|03-23发布,五险一金|交通补贴|餐饮补贴|通讯补贴|年终奖金
SAP&Salesforce工程师,北京家福科技有限公司,1.5-2万/月,大连-高新园区|1年经验|招3人|03-23发布|日语良好 英语良好|日语 英语,年终奖金|交通补贴|出国机会|专业培训|通讯补贴|员工旅游
Java开发工程师,北京众荟信息技术股份有限公司,1-1.5万/月,北京-海淀区|2年经验|本科|招2人|03-23发布,五险一金|补充医疗保险|弹性工作|定期体检|绩效奖金
华泰人寿总公司-网络工程师(005564)(职位编号：005564),华泰人寿保险股份有限公司,1-2万/月,北京|无工作经验|本科|招2人|05-16发布,五险一金|补充医疗保险|通讯补贴|年终奖金|定期体检|餐饮补贴|补充养老金
IT信息技术安全员,瑞泰人寿保险有限公司,,北京-西城区|2年经验|本科|招1人|05-17发布,五险一金|补充医疗保险|绩效奖金|年终奖金|周末双休|节日福利|餐饮补贴|带薪年假|加班补贴
[ATG]中级软件测试工程师,埃森哲（中国）有限公司,1-2万/月,北京|无工作经验|招若干人|05-18发布,五险一金|补充医疗保险|弹性工作|定期体检|专业培训|补充公积金|免费班车|年终奖金
网络工程师,富士通（中国）有限公司,1.5千以下/月,北京-朝阳区|无工作经验|大专|招1人|03-25发布|英语熟练,
数据库高级工程师/管理员（DBA）武汉,大玩家超乐场,1.5-2千/月,北京|3-4年经验|本科|招1人|03-30发布,五险一金|餐饮补贴|专业培训|绩效奖金|年终奖金
实施顾问实习生（HCM北京区）,浪潮通软公司,2.6-3.2千/月,北京|无工作经验|本科|招4人|03-30发布,五险一金|交通补贴|通讯补贴|绩效奖金|股票期权|员工旅游|定期体检|专业培训|出国机会
高级软件工程师,南京国睿信维软件有限公司,1.5千以下/月,北京-海淀区|5-7年经验|大专|招1人|04-01发布|计算机科学与技术,
IT经理,北京欣欣翼翔国际会议有限公司,4.5-6千/月,北京-朝阳区|无工作经验|大专|招若干人|05-02发布,周末双休|带薪年假|五险一金|包住宿|绩效奖金|节日福利|专业培训|通讯补贴|奖励旅游|生日福利
IT主管,北京市隆安律师事务所,1.5-2千/月,北京-朝阳区|无工作经验|招1人|05-06发布,
Java开发工程师,北京久佳信通科技有限公司,1.5-2千/月,北京-大兴区|5-7年经验|大专|招2人|05-13发布,五险一金|补充医疗保险|员工旅游|交通补贴|餐饮补贴|通讯补贴|定期体检|弹性工作|年终奖金
CTO,北京华冠商业科技发展有限公司,2-3千/月,北京-房山区|8-9年经验|本科|招1人|05-17发布|计算机信息管理 计算机工程,节日福利|绩效奖金|专业培训|带薪年假|员工旅游|餐饮补贴|五险一金|包住宿
数据库管理员,某大型猎头公司,10-20万/月,北京-朝阳区|3-4年经验|本科|招若干人|05-14发布,五险一金|定期体检|补充医疗保险|节日福利|年终奖金|交通补贴
智能制造业务管理（LIMS）主管,黑龙江飞鹤乳业有限公司,1.6-2万/年,北京-朝阳区|无工作经验|本科|招1人|05-16发布,五险一金|绩效奖金|弹性工作|定期体检|补充医疗保险|员工旅游|年终奖金|专业培训|午餐补助|公司重点项目
信息主管,北京龙德商业管理有限公司,4-7千/月,北京-昌平区|1年经验|大专|招2人|05-16发布,求贤如渴|做五休二|绩效奖金|高温补贴|健身房|餐饮补贴|节日福利|电影票洗衣卡|带薪年假|台球羽毛球室
市场运营经理,江苏云学堂网络科技有限公司,1.5千以下/月,北京-东城区|3-4年经验|本科|招1人|05-16发布,五险一金|餐饮补贴|通讯补贴|专业培训|弹性工作|定期体检
电维修工,北京中原华夏物业管理有限公司,2.5-3.4千/月,北京-通州区|无工作经验|招若干人|05-17发布,带薪年假|五险一金|包住宿|全勤奖|高温补贴|餐饮补贴
HCM内部顾问（人力资源系统）,纷美（北京）贸易有限公司,2-3千/月,北京-朝阳区|3-4年经验|本科|招1人|05-17发布|英语熟练|软件工程 信息管理和信息系统,五险一金|餐饮补贴|通讯补贴|专业培训|年终奖金|定期体检|带薪年假|工会福利|生日福利
视频记者实习生,广州有好戏网络科技有限公司,2-3千/月,北京-朝阳区|无工作经验|招1人|05-17发布,
BIM 行业全国销售总监 BIM/AEC/PPP,上海倍果企业管理咨询有限公司,10-13万/月,北京|10年以上经验|本科|招1人|05-17发布|英语熟练,餐饮补贴|通讯补贴|绩效奖金|年终奖金|五险一金|员工旅游|专业培训|外企|出国机会|交通补贴
项目实施实习生（智慧城市—北京）,北京超图软件股份有限公司,2-3.5千/月,北京-朝阳区|无工作经验|本科|招4人|05-18发布,五险一金|补充医疗保险|员工旅游|专业培训|通讯补贴|绩效奖金|股票期权|定期体检|节日福利
会务客服（天竺空港）,上海安锐盟企业服务有限公司,2.8-3.2千/月,北京-顺义区|无工作经验|招1人|05-18发布,五险一金|做五休二
初级运维工程师(职位编号：20180926-95),中核集团技术经济总院,,北京|无工作经验|硕士|招2人|05-18发布|电子信息科学类,
安全运维工程师(职位编号：20190130-41),北京研究院,,北京|无工作经验|本科|招8人|05-18发布,
java中高级工程师-新媒体大厦,北京天景隆软件科技有限公司,1.5-2千/月,北京-大兴区|3-4年经验|本科|招2人|05-17发布,五险一金|员工旅游|专业培训|绩效奖金|年终奖金
技术支持运维实习生,北京志联利盟科技发展有限公司,4.5-6千/月,北京-朝阳区|无工作经验|大专|招5人|05-18发布,
运维工程师,太极计算机股份有限公司,1-1.5万/月,北京-朝阳区|无工作经验|招5人|05-18发布,五险一金|补充医疗保险|绩效奖金|交通补贴|餐饮补贴|弹性工作|定期体检|14薪
业务运维工程师,中科金审（北京）科技有限公司,6-8千/月,北京|2年经验|本科|招2人|05-18发布,五险一金|员工旅游|交通补贴|餐饮补贴|绩效奖金|年终奖金
实施运维工程师,中科金审（北京）科技有限公司,1-1.5万/月,北京|3-4年经验|招1人|05-18发布,五险一金|员工旅游|交通补贴|餐饮补贴|绩效奖金|年终奖金
运维工程师,北京牛电信息技术有限责任公司,2-3万/月,北京-朝阳区|3-4年经验|本科|招1人|05-18发布|英语熟练,五险一金|补充医疗保险|员工旅游|专业培训|弹性工作|年终奖金
运维工程师,深圳市泓健体育文化有限公司,6-8千/月,北京-海淀区|1年经验|大专|招1人|05-18发布,五险一金|员工旅游|餐饮补贴|年终奖金|专业培训|定期体检
系统运维工程师,北京雷霆万钧网络科技有限责任公司,0.8-1万/月,北京-东城区|5-7年经验|大专|招1人|05-18发布,
桌面运维工程师（常驻知名银行）,北京直信创邺数码科技有限公司,5-5.5千/月,北京|无工作经验|大专|招1人|05-18发布,五险一金|带薪年假|专业培训
高级运维工程师,中国软件与技术服务股份有限公司,1.2-1.8万/月,北京-海淀区|5-7年经验|本科|招3人|05-18发布,五险一金|补充医疗保险|餐饮补贴|通讯补贴|年终奖金|弹性工作|定期体检
Helpdesk/桌面运维（英语熟练）,北京直信创邺数码科技有限公司,7-8千/月,北京|无工作经验|大专|招1人|05-18发布,五险一金|绩效奖金|弹性工作|做五休二|节日福利|高温补贴|带薪年假
运维工程师,北京博兴高科科技有限公司,0.6-1万/月,北京-海淀区|2年经验|本科|招2人|05-18发布,五险一金|员工旅游|生日福利|交通补贴|年终奖金
中级存储运维工程师,恩士迅信息科技（上海）有限公司,1.2-1.5万/月,北京-大兴区|3-4年经验|本科|招若干人|05-18发布,做五休二|周末双休|带薪年假|五险一金|绩效奖金|专业培训
中级备份运维工程师,恩士迅信息科技（上海）有限公司,1-1.3万/月,北京-大兴区|2年经验|本科|招若干人|05-18发布,做五休二|周末双休|带薪年假|五险一金|绩效奖金|专业培训
中级数据库运维工程师,恩士迅信息科技（上海）有限公司,1.2-1.5万/月,北京-大兴区|3-4年经验|本科|招若干人|05-18发布,做五休二|周末双休|带薪年假|五险一金|绩效奖金|专业培训
运维工程师,北京圣通和科技有限公司,4-6千/月,北京|2年经验|大专|招10人|05-16发布|英语熟练|测控技术与仪器 应用化学,周末双休|带薪年假|五险一金|免费班车|节日福利|通讯补贴|加班补贴|餐饮补贴|包住宿
运维部行政助理,北京圣通和科技有限公司,4-5千/月,北京|1年经验|大专|招2人|05-16发布|普通话精通 英语良好|行政管理,周末双休|带薪年假|五险一金|免费班车|节日福利|通讯补贴|加班补贴|餐饮补贴|包住宿
网络应用运维工程师,北京圣通和科技有限公司,4-7千/月,北京|2年经验|大专|招1人|05-16发布|英语一般|计算机科学与技术 自动化,周末双休|带薪年假|五险一金|免费班车|节日福利|通讯补贴|加班补贴|餐饮补贴|包住宿
驻场运维工程师--丰台区,北京驷骑中天网络工程技术有限公司,4-6千/月,北京-海淀区|2年经验|大专|招2人|05-16发布,五险一金|补充医疗保险|定期体检
运维工程师,北京天天网联信息科技有限公司,4-5千/月,北京-朝阳区|1年经验|大专|招5人|05-16发布,五险一金|交通补贴|绩效奖金|弹性工作|定期体检|年终奖金
运维助理,北京圣通和科技有限公司,4-6千/月,北京|2年经验|中专|招6人|05-16发布|普通话精通 英语熟练,周末双休|带薪年假|五险一金|免费班车|节日福利|通讯补贴|加班补贴|餐饮补贴|包住宿
大数据运维工程师,北京思特奇信息技术股份有限公司,0.9-1.4万/月,北京|2年经验|本科|招1人|05-16发布,
运维工程师 NG,北京思特奇信息技术股份有限公司,0.6-1万/月,北京|无工作经验|本科|招若干人|05-16发布,五险一金|补充医疗保险|交通补贴|餐饮补贴|通讯补贴|年终奖金|定期体检
驻场网络运维工程师--丰台、东城区,北京驷骑中天网络工程技术有限公司,4-6千/月,北京-海淀区|2年经验|大专|招2人|05-16发布,五险一金|补充医疗保险|定期体检
运维工程师,北京天天网联信息科技有限公司,3-4千/月,廊坊|无工作经验|大专|招2人|05-16发布,五险一金|交通补贴|绩效奖金|弹性工作|定期体检|年终奖金
运维工程师,彩讯科技股份有限公司,0.8-1.5万/月,北京-东城区|3-4年经验|大专|招2人|05-16发布,五险一金|通讯补贴|定期体检|绩效奖金|员工旅游
高级运维工程师,彩讯科技股份有限公司,1.4-1.8万/月,北京-东城区|3-4年经验|本科|招1人|05-16发布,五险一金|定期体检|通讯补贴|绩效奖金|专业培训
运维工程师(职位编号：008),乐荐信息科技（北京）有限公司,0.8-1.2万/月,北京-朝阳区|2年经验|大专|招1人|05-16发布,五险一金|弹性工作|专业培训|环境好
it运维工程师（北京）(职位编号：040),乐荐信息科技（北京）有限公司,0.8-1万/月,北京-朝阳区|3-4年经验|大专|招1人|05-16发布,五险一金|弹性工作|专业培训|环境好
ERP运维,北京至诚益友科技有限公司,5-8千/月,北京-海淀区|1年经验|大专|招若干人|05-16发布|普通话熟练|计算机科学与技术 经济与金融,员工旅游|周末双休|五险|餐饮补贴
数据中心运维工程师（技术岗位/无夜班）,北京神州新桥科技有限公司,1-1.5万/月,北京-海淀区|3-4年经验|大专|招1人|05-16发布,定期体检|餐饮补贴|五险一金|补充医疗保险|通讯补贴
运维开发工程师,北京神州新桥科技有限公司,1.5-2万/月,北京-石景山区|5-7年经验|本科|招1人|05-16发布,五险一金
网络运维工程师,北京神州新桥科技有限公司,0.6-1万/月,北京|2年经验|本科|招5人|05-16发布|计算机网络,补充医疗保险|餐饮补贴|通讯补贴|定期体检|专业培训|年终奖金|七险一金|补充公积金
运维开发工程师,南通东华软件有限公司,1-2万/月,北京-西城区|1年经验|本科|招1人|05-15发布,五险一金|餐饮补贴|通讯补贴|补充公积金|年终奖金|定期体检|周末双休|带薪年假|每年多次调薪
高级运维开发工程师,北京华清信安科技有限公司,1-2.5万/月,北京-朝阳区|3-4年经验|本科|招2人|05-15发布,股票期权|年终奖金|交通补贴
暖通运行运维工,北京实力空调设备安装有限公司,3-4.5千/月,北京-通州区|2年经验|高中|招2人|05-15发布,五险一金|绩效奖金|年终奖金|弹性工作|定期体检|专业培训|员工旅游
实施运维工程师（需出差）,中油龙慧自动化工程有限公司,4.5-6千/月,北京|1年经验|本科|招5人|05-15发布|英语熟练|计算机科学与技术 计算机信息管理,
暖通运维工程师,北京中航信柏润科技有限公司,4.5-6千/月,北京-大兴区|2年经验|高中|招3人|05-15发布|普通话良好,五险一金|员工旅游|年终奖金|绩效奖金|高温补贴|带薪年假|节日福利|包住宿|餐饮补贴|加班补贴
暖通运维工程师,北京中航信柏润科技有限公司,4.5-6千/月,北京-大兴区|2年经验|高中|招3人|05-15发布|普通话良好,五险一金|员工旅游|年终奖金|绩效奖金|高温补贴|带薪年假|节日福利|包住宿|餐饮补贴|加班补贴
运维实施工程师,北京云思畅想科技有限公司,1-2万/月,北京-海淀区|3-4年经验|本科|招2人|05-15发布,五险一金|弹性工作|年终奖金|股票期权
网络运维工程师,北京首金中小微企业金融服务有限公司,0.8-1.2万/月,北京-海淀区|1年经验|大专|招1人|05-15发布,五险一金|大牛云集|带薪年假|成长快|年终奖金
运维工程师,上海锐岢网络科技有限公司北京分公司,6-9千/月,北京-海淀区|3-4年经验|大专|招2人|05-15发布,五险一金|带薪年假|定期体检|管吃|年底双薪|节日福利
运维弱电工程师,北京中航信柏润科技有限公司,4.5-6千/月,北京-大兴区|2年经验|高中|招4人|05-15发布|普通话良好,五险一金|员工旅游|年终奖金|绩效奖金|高温补贴|带薪年假|节日福利|包住宿|餐饮补贴|加班补贴
运维电气工程师,北京中航信柏润科技有限公司,4.5-6千/月,北京-大兴区|2年经验|高中|招6人|05-15发布|普通话良好,五险一金|员工旅游|年终奖金|绩效奖金|高温补贴|带薪年假|节日福利|包住宿|餐饮补贴|加班补贴
运维工程师-信息技术-移动IT,北京神州泰岳软件股份有限公司,4-7千/月,北京-朝阳区|无工作经验|本科|招若干人|05-15发布,五险一金|补充医疗保险|餐饮补贴|年终奖金|定期体检|社保补贴
运维实习生-信息技术,北京神州泰岳软件股份有限公司,3-4千/月,北京-朝阳区|无工作经验|本科|招5人|05-15发布,五险一金|定期体检|餐饮补贴|补充医疗保险|绩效奖金|年终奖金|股票期权|员工旅游
系统运维工程师（K12教育）,新东方教育科技集团有限公司,1-2万/月,北京|3-4年经验|本科|招2人|05-15发布,
高级运维工程师,北京广誉远投资管理有限公司,1-2万/月,北京-东城区|无工作经验|招若干人|05-13发布,五险一金|绩效奖金|餐饮补贴|通讯补贴|定期体检
ERP运维工程师,北京广誉远投资管理有限公司,0.8-1万/月,北京-东城区|2年经验|大专|招1人|05-13发布|计算机网络,五险一金|通讯补贴|餐饮补贴|定期体检
桌面运维工程师,三峡高科信息技术有限责任公司,4.5-6千/月,北京|3-4年经验|本科|招1人|05-13发布|计算机科学与技术,五险一金|年终奖金|绩效奖金|通讯补贴|周末双休|带薪年假|高温补贴
桌面运维工程师,北京友邦佳通电子科技有限公司,4-6千/月,北京-海淀区|1年经验|大专|招3人|05-15发布,
售前工程师（IT运维方向）,网宿科技股份有限公司,1-2万/月,北京-朝阳区|3-4年经验|大专|招1人|05-14发布,
高级平台运维工程师-ZJY(职位编号：NavInfo002092),北京四维图新科技股份有限公司,1.5-2万/月,北京-海淀区|5-7年经验|本科|招1人|05-14发布,自动驾驶领域|A股上市公司|地图领域龙头|各类福利丰富|本人子女商险|Nice团队|职业晋升通道|免费班车
运维专员-全科北京中心(J10313),微医集团,1-1.5万/月,北京-西城区|1年经验|大专|招1人|05-14发布,五险一金|餐饮补贴|定期体检|弹性工作|年终奖金
备份支持一线运维岗,北京富通东方科技有限公司,0.7-1.4万/月,佛山-南海区|2年经验|大专|招3人|05-14发布,五险一金|补充医疗保险|餐饮补贴|年终奖金|通讯补贴
Windows系统运维工程师（驻场）,北京富通东方科技有限公司,0.6-1.2万/月,北京-海淀区|1年经验|本科|招若干人|05-14发布,五险一金|补充医疗保险|餐饮补贴|年终奖金|通讯补贴
Vmware-Citrix虚拟化运维工程师（驻场）,北京富通东方科技有限公司,0.6-1.2万/月,北京-海淀区|无工作经验|招3人|05-14发布,五险一金|补充医疗保险|餐饮补贴|年终奖金|通讯补贴
x86服务器虚拟化一线运维工程师,北京富通东方科技有限公司,0.6-1.2万/月,北京-海淀区|无工作经验|招若干人|05-14发布,五险一金|补充医疗保险|餐饮补贴|年终奖金|通讯补贴
Informix数据库一线运维工程师（驻场）,北京富通东方科技有限公司,0.6-1.2万/月,北京-海淀区|无工作经验|招1人|05-14发布,五险一金|补充医疗保险|餐饮补贴|年终奖金|通讯补贴
存储虚拟化高级运维工程师（驻场）,北京富通东方科技有限公司,0.6-1.2万/月,北京-海淀区|无工作经验|招若干人|05-14发布,五险一金|补充医疗保险|餐饮补贴|年终奖金|通讯补贴
AIX系统运维工程师(驻场）,北京富通东方科技有限公司,0.6-1.2万/月,北京-海淀区|无工作经验|招1人|05-14发布,五险一金|补充医疗保险|餐饮补贴|年终奖金|通讯补贴
HPUX系统一线运维工程师（驻场）,北京富通东方科技有限公司,0.6-1.2万/月,北京-海淀区|无工作经验|招1人|05-14发布,五险一金|补充医疗保险|餐饮补贴|年终奖金|通讯补贴
综控平台运维开发工程师（驻场）,北京富通东方科技有限公司,0.6-1.2万/月,北京-海淀区|无工作经验|招1人|05-14发布,五险一金|补充医疗保险|餐饮补贴|年终奖金|通讯补贴
变更评估运维工程师（驻场）,北京富通东方科技有限公司,0.6-1.2万/月,北京-海淀区|无工作经验|招1人|05-14发布,五险一金|补充医疗保险|餐饮补贴|年终奖金|通讯补贴
网络运维工程师,北京富通东方科技有限公司,0.7-1.2万/月,北京-海淀区|3-4年经验|本科|招1人|05-14发布|计算机网络,五险一金|补充医疗保险|餐饮补贴|年终奖金|通讯补贴
售后运维工程师,北京恒泰实达科技股份有限公司,6-8千/月,北京-海淀区|1年经验|大专|招2人|05-14发布,周末双休|五险一金|交通补贴|带薪年假|定期体检
运维评审工程师（驻场）,北京富通东方科技有限公司,0.6-1.2万/月,北京-海淀区|无工作经验|招1人|05-14发布,五险一金|补充医疗保险|餐饮补贴|年终奖金|通讯补贴
高级运维工程师,环球合一网络技术（北京）股份有限公司,1.2-2.5万/月,北京-海淀区|3-4年经验|本科|招2人|05-14发布,五险一金|通讯补贴|定期体检|补充医疗保险|餐饮补贴|弹性工作|年终奖金|绩效奖金
IT运维服务经理（北京）,北京护航科技股份有限公司,1-1.5万/月,北京-昌平区|3-4年经验|本科|招1人|05-17发布,带薪年假|五险一金|绩效奖金|节日福利|专业培训|做五休二
IT运维工程师,北京护航科技股份有限公司,6-8千/月,北京-西城区|3-4年经验|大专|招2人|05-17发布,周末双休|做五休二|五险一金|带薪年假|通讯补贴
英文IT运维工程师,北京护航科技股份有限公司,6-8千/月,北京-东城区|2年经验|本科|招1人|05-17发布|英语良好,做五休二|周末双休|五险一金|通讯补贴|带薪年假|节日福利|定期体检
桌面运维工程师,北京护航科技股份有限公司,4.5-6千/月,北京-海淀区|2年经验|大专|招1人|05-17发布,周末双休|弹性工作|带薪年假|五险一金|专业培训|绩效奖金|通讯补贴
IT运维工程师（英文）,北京护航科技股份有限公司,5-8.5千/月,北京-海淀区|无工作经验|大专|招2人|05-17发布,五险一金|带薪年假|节日福利|通讯补贴|定期体检
桌面运维工程师,北京护航科技股份有限公司,6-8千/月,北京|2年经验|本科|招若干人|05-17发布,五险一金|绩效奖金|定期体检
应用系统运维工程师,北京护航科技股份有限公司,6-8千/月,北京-昌平区|无工作经验|招1人|05-17发布,
IT桌面运维工程师岗位,北京护航科技股份有限公司,4.5-6千/月,中山|1年经验|大专|招5人|05-17发布|英语一般,带薪年假|五险一金|绩效奖金|节日福利|专业培训|做五休二
桌面运维工程师,北京护航科技股份有限公司,4.5-6千/月,北京-海淀区|无工作经验|招2人|05-17发布,五险一金|带薪年假|节日福利|通讯补贴|定期体检
系统运维工程师,北京护航科技股份有限公司,6-8千/月,北京-朝阳区|1年经验|本科|招2人|05-17发布,五险一金|带薪年假|节日福利|通讯补贴|定期体检
桌面运维英文工程师,北京护航科技股份有限公司,6-8千/月,北京-海淀区|1年经验|大专|招2人|05-17发布|英语熟练,五险一金|绩效奖金|年终奖金
应用系统运维工程师（北京）,北京护航科技股份有限公司,4.5-6千/月,北京-海淀区|无工作经验|大专|招1人|05-17发布,五险一金|带薪年假|节日福利|通讯补贴|定期体检
桌面运维工程师,北京护航科技股份有限公司,6-8千/月,北京-海淀区|无工作经验|大专|招2人|05-17发布,五险一金|绩效奖金|年终奖金
（北京）桌面运维工程师,北京护航科技股份有限公司,6-8千/月,北京-海淀区|2年经验|大专|招10人|05-17发布,五险一金|带薪年假|节日福利|通讯补贴|定期体检|绩效奖金|专业培训|外企环境|免费班车
桌面运维工程师,北京护航科技股份有限公司,6-7千/月,北京-朝阳区|无工作经验|招1人|05-17发布,五险一金|带薪年假|节日福利|通讯补贴|定期体检
