青年公寓管家,南京朗诗寓商业管理有限公司,4.5-6千/月,北京|无工作经验|招2人|05-15发布,带薪年假|五险一金|绩效奖金|通讯补贴|专业培训|节日福利|做五休二
ERP主管,北京果加智能科技有限公司,0.8-1.5万/月,北京-海淀区|无工作经验|本科|招1人|05-15发布,五险一金|弹性工作|节日福利|绩效奖金
数据系统维护（泰康）,深圳市赢时胜信息技术股份有限公司北京分公司,4.5-6千/月,北京-朝阳区|无工作经验|大专|招1人|05-15发布,做五休二|周末双休|五险一金|带薪年假
大数据应用开发工程师,深圳市赢时胜信息技术股份有限公司北京分公司,2-3万/月,北京-朝阳区|3-4年经验|本科|招10人|05-15发布,五险一金|专业培训|通讯补贴|餐饮补贴|交通补贴|年终奖金|绩效奖金
需求分析师/信贷方向,北京汉克时代科技有限公司,1.5-2万/月,郑州-郑东新区|5-7年经验|本科|招2人|05-15发布,五险一金|年终奖金
中高级Java工程师（南京）,北京汉克时代科技有限公司,1.5-2万/月,南京-玄武区|5-7年经验|大专|招5人|05-15发布,五险一金|年终奖金
高层协议软件工程师,大唐移动通信设备有限公司,1-1.5万/月,北京-海淀区|2年经验|本科|招10人|05-15发布,五险一金|补充医疗保险|餐饮补贴|绩效奖金|弹性工作|定期体检
云平台测试工程师,北京云思畅想科技有限公司,2-3万/月,北京-海淀区|5-7年经验|本科|招2人|05-15发布,五险一金|弹性工作|年终奖金|股票期权
售前工程师,北京云思畅想科技有限公司,1.5-2.5万/月,北京-海淀区|3-4年经验|大专|招3人|05-15发布,五险一金|餐饮补贴|弹性工作|通讯补贴|交通补贴|股票期权|年终奖金
初级技术工程师,北京华清信安科技有限公司,3-6千/月,北京-朝阳区|无工作经验|招2人|05-15发布,五险一金|交通补贴|专业培训|年终奖金|弹性工作|定期体检
信息安全工程师,北京华清信安科技有限公司,6-8千/月,北京-朝阳区|无工作经验|招1人|05-15发布,五险一金|交通补贴|专业培训|年终奖金|弹性工作|定期体检
数据仓库研发工程师,中油龙慧自动化工程有限公司,0.8-1.6万/月,北京-西城区|3-4年经验|本科|招1人|05-15发布,定期体检|六险一金|年15薪|岗位晋升|餐交通话补|加班调休|带薪年假|有食堂|发展空间大
售前架构师,北京云思畅想科技有限公司,2-3万/月,北京-海淀区|5-7年经验|本科|招2人|05-15发布,五险一金|餐饮补贴|弹性工作|通讯补贴|交通补贴|股票期权|年终奖金
网络一线（集成1853）,北京南天软件有限公司,6-8千/月,北京-西城区|2年经验|大专|招3人|05-14发布,五险一金|餐饮补贴|交通补贴|年终分红|节日福利
