label,position
1,"产品,运维"
2,"IT,技术支持"
2,"A62,技术支持,维护"
2,"IT,技术支持"
2,"技术支持,软件"
2,"售前,技术支持"
2,"高级,软件"
2,"售前,技术支持,高级"
2,"云计算,高级,技术支持,网络,方向"
2,"云计算,高级,技术支持,操作系统,方向"
2,"Linux,技术支持"
2,"安全,技术支持"
2,"技术支持,服务"
2,技术支持
2,"现场,技术支持"
2,技术支持
2,"售后,技术支持"
2,"技术支持,西安"
2,"软件,技术支持"
2,"IT,技术支持"
2,"售后,技术支持"
2,"技术支持,维护"
2,"技术支持,维护"
2,"技术支持,云,服务"
2,"资深,技术支持,云,服务"
2,"专家,技术支持,云,服务"
2,"技术支持,团队,TL,云,服务"
2,"软件,实施"
2,技术支持
2,"高级,软件,运维"
2,"安全,运维,售后,技术支持"
2,"售后,技术支持"
2,"IT,运维,技术支持"
2,"IT,技术支持,运维,专员,实习生,+"
2,"高级,技术支持"
2,技术支持
2,"技术支持,维护"
2,"售后,技术支持"
2,"西安,技术支持"
2,软件
2,"售后,技术支持"
2,"IT,技术支持"
2,"软件,实施"
2,"技术支持,西安"
2,软件
2,"软件,实施"
2,"软件,实施"
2,"技术支持,西安"
2,"软件,实施"
2,"技术支持,西安"
2,"技术支持,与,维护"
2,"ERP,技术支持"
2,软件
2,"IT,技术支持,Helpdesk,常驻,银行"
2,"软件产品,实施,技术支持"
2,技术支持
2,"技术支持,运维"
2,"运维,技术支持"
2,"软件,运维, , , ,软件,实施"
2,"售后,技术支持,西安"
2,"软件,实施"
2,"技术支持,售前"
2,技术支持
2,技术支持
2,技术支持
2,"电力,电气,技术支持"
2,"软件,运维"
2,"IT,技术支持,运维, ,西北,XB"
2,"软件,运维"
2,"软件,运维"
2,"技术支持,运维,西安"
2,"运维,技术支持"
2,"软件,运维"
2,"软件,实施,运维,服务"
2,"软件,运维"
2,"技术支持,软件,实施,售后,运维"
3,"机房,维护"
3,"维护,助理,实习生"
3,"紧急,招聘,维护"
3,"急招,维护"
3,"维护,"
3,"技术,服务,4k,10k"
3,"安全,服务"
3,"A29, ,系统集成"
3,"系统集成,实习生"
3,系统集成
3,"销售,服务,支持"
3,"系统维护,专员"
3,"云,平台,安全,服务"
3,服务
3,"MES,MD,系统维护,技术支持"
3,"埃塞俄比亚,OSS,系统维护"
3,系统集成
