岗位职称,工作经验,学历要求,工作类型,公司发展,工作地点,工资,工作福利,公司名称
Python 工程师,3-5年,本科,全职,A轮,上海,15k-30k,"技术牛,福利好,氛围好,老板牛",果雪科技
python开发工程师,3-5年,本科,全职,上市公司,深圳,10k-20k,"上市公司,餐补,免费班车",博雅互动
Python开发,3-5年,本科,全职,B轮,北京,20k-30k,"试用期全薪,餐补,六险一金,年终奖",钱方好近
大数据应用工程师-Python,3-5年,大专,全职,不需要融资,上海,20k-40k,"环境好,福利好",上海拿米金服
Python研发工程师,1-3年,本科,全职,C轮,上海,15k-30k,平台好，发展广阔，技术大牛多,房多多
python开发工程师,3-5年,大专,全职,不需要融资,上海,12k-19k,员工旅游 员工体检 五险一金,紫川软件
Python开发工程师,1-3年,本科,全职,上市公司,广州,8k-15k,完善的福利制度、宽松的环境,蓝盾信息安全技术股份有限公司
Python高级开发工程师,3-5年,大专,全职,不需要融资,武汉,10k-18k,"五险一金,休闲餐点,员工聚餐",北蚁
Python工程师,1-3年,大专,全职,未融资,广州,20k-40k,"待遇好,市中心,出国,交通便利",广州液态水
python工程师,1-3年,本科,全职,B轮,广州,10k-15k,"人工智能,产品牛,开放氛围,团队年轻",筷子科技
Python开发工程师,1-3年,本科,全职,B轮,上海,15k-30k,硅谷文化；免费餐饮；期权激励；,再惠
Python开发工程师,不限,本科,全职,A轮,武汉,8k-12k,六险一金、年度体检、加班补助、年度旅游等,SendCloud
Python开发工程师,5-10年,本科,全职,不需要融资,成都,15K-20K,发展前景良好,海德智和科技
Python开发工程师,1-3年,大专,全职,不需要融资,杭州,11K-22K,"平台好,技术新,大牛多",武汉佰钧成技术有限公司
python开发工程师,1-3年,本科,全职,未融资,武汉,7k-13k,"弹性工作,试用不打折,员工旅游,周末双休",武汉安天
Python开发工程师,3-5年,本科,全职,B轮,北京,25k-30k,六险一金，带薪年假，年度体检，自由氛围。,钱方好近
Python开发工程师,3-5年,本科,全职,上市公司,上海,15k-25k,跟优秀的团队一起工作,携程
Python,1-3年,本科,全职,不需要融资,北京,13k-16k,"一日四餐,六险一金,季度奖金,年度奖金",零用钱
Python开发工程师,1-3年,大专,全职,未融资,深圳,10k-15k,"晋升空间大,五险一金",博奥特科技
Python开发,3-5年,本科,全职,C轮,深圳,20k-35k,BAT的薪资福利待遇，更有技术大牛传授技术,航仕科技
Python 开发,3-5年,本科,全职,上市公司,深圳,15k-30k,团队牛人,贝尔机器人
Python开发工程师,3-5年,本科,全职,A轮,上海,10k-15k,"发展空间大,公司氛围好,员工股权,管理规范",颉一软件
Python 开发工程师,1-3年,本科,全职,C轮,上海,10k-18k,"技术大牛,不打卡,外企",智慧芽
Python工程师,3-5年,本科,全职,不需要融资,北京,15k-25k,"发展空间大,技术氛围好,办公环境好,简单开放",云蜂科技
Python,3-5年,本科,全职,A轮,深圳,15k-30k,老司机来开车,糗事百科
Python开发工程师,3-5年,大专,全职,C轮,上海,15k-25k,"阿里云,晋升快,空间大",驻云
Python开发,3-5年,大专,全职,上市公司,深圳,12k-18k,"上市公司,大型项目,年度调薪,薪资福利好",金证股份
python开发工程师,1-3年,本科,全职,A轮,上海,10k-16k,"发展空间大,晋升机会多",MXCHIP
Python开发工程师,1-3年,本科,全职,不需要融资,北京,15k-30k,"六险一金,福利待遇佳,硅谷式办公,免费水果",iHandy
Python工程师,3-5年,本科,全职,不需要融资,北京,18k-30k,福利好，14薪,家园网
python开发工程师,1-3年,大专,全职,未融资,深圳,10k-20k,"晋升空间大,福利待遇好",博奥特科技
Python开发工程师,3-5年,本科,全职,不需要融资,深圳,15k-30k,"平台好,空间大",万科物业
Python,3-5年,大专,全职,上市公司,深圳,10k-16k,"上市公司,办公环境好,薪资福利好,五险一金",金证股份
Python开发工程师,1-3年,本科,全职,B轮,北京,20k-40k,"出国旅游,免费健身,股票期权,带薪年假",朗播网
Python开发工程师-我的世界,1-3年,本科,全职,上市公司,广州,12k-18k,"16薪,氛围好,团队氛围好,发展空间大",网易游戏
Python工程师,1-3年,本科,全职,D轮及以上,上海,12k-24k,六险一金 带薪病事假 福利待遇优,思华科技
Python开发工程师,不限,本科,全职,C轮,苏州,8k-15k,"福利待遇好,不用打卡,团队氛围好,技术牛",聚合数据
Python 开发工程师,1-3年,本科,全职,不需要融资,上海,10k-15k,移动金融，未来金矿；精英团队，助力成长！,还呗-智能信贷领先者
Python开发工程师,3-5年,本科,全职,不需要融资,上海,20k-40k,"六险两金,年度体检,绩效奖金,渠道晋升",上海华瑞银行
Python开发工程师,3-5年,本科,全职,B轮,北京,10k-20k,"周末双休,法定节假日,六险一金,年底双薪",缔联科技
Python开发工程师,1-3年,本科,全职,B轮,北京,8k-15k,"临近地铁,平台好,准上市",店商互联
Python研发工程师,3-5年,本科,全职,D轮及以上,北京,25k-35k,"生日礼金,绩效奖金,团建,免费健身",ofo
python开发工程师,3-5年,本科,全职,未融资,北京,15k-30k,"扁平管理,创业氛围",贝壳金控
Python,3-5年,本科,全职,C轮,北京,20k-40k,有挑战，自主加薪，技术氛围好,春雨移动健康
python开发工程师,1-3年,本科,全职,B轮,北京,20k-40k,"加班少,福利好",老虎证券
Python,1-3年,大专,全职,未融资,深圳,10k-20k,"行业前景好,发展空间大",博奥特科技
Python,1-3年,本科,全职,天使轮,北京,15k-20k,"高速成长,期权,创业,五险一金",程创科技
急聘python开发工程师,1-3年,本科,全职,不需要融资,深圳,8k-16k,发展空间大，福利待遇好,博悦科创
Python开发工程师,3-5年,本科,全职,B轮,北京,20k-30k,"五险一金,餐补,生日会,优秀团队",学堂在线
Python研发工程师,1-3年,本科,全职,不需要融资,重庆,6K-10K,公分旅游，13薪+奖金，五险一金，成长期,博尼施
python研发工程师,3-5年,本科,全职,D轮及以上,北京,15k-30k,"公司前景好,发展空间大",融360
Python工程师,3-5年,本科,全职,不需要融资,北京,25k-35k,"十四薪,六险一金,弹性工作制,午餐晚餐",洋钱罐
python研发工程师,5-10年,本科,全职,上市公司,北京,15k-25k,"薪酬福利好,云计算公司",CDS
高级python工程师,5-10年,本科,全职,不需要融资,北京,20k-30k,"股票期权,绩效奖金",家园网
Python工程师,3-5年,本科,全职,天使轮,杭州,15k-30k,"弹性工作,硅谷团队,股权激励,全正版软件",TELETRAAN
Python开发,3-5年,本科,全职,不需要融资,北京,20k-25k,"交通便利,技术氛围好,发展前景好,福利优厚",智慧星光
python开发工程师,1-3年,本科,全职,上市公司,广州,8k-16k,"双休,五险一金,包三餐,年底双薪",广州游爱
Python开发工程师,3-5年,本科,全职,B轮,北京,15k-30k,活跃的技术氛围，六险一金，福利多多,第三石科技
Java/Python开发工程师,3-5年,本科,全职,不需要融资,上海,18k-20k,阿里系薪资福利体系,千寻位置
python,3-5年,本科,全职,C轮,北京,20k-30k,"免费午晚餐,五险一金,交补,年终奖",The ONE
高级python工程师,5-10年,本科,全职,不需要融资,北京,20k-30k,"股票期权,绩效奖金",家园网
Python工程师,1-3年,本科,全职,C轮,北京,20k-40k,"技术驱动,极客氛围,大牛团队",Face++
Python,3-5年,本科,全职,A轮,深圳,15k-30k,"海外手游,鹅厂大神,高配团队",乐易网络
Python开发工程师（上海）,不限,本科,全职,不需要融资,上海,10k-15k,公司发展前景好，福利待遇好,平安科技
python工程师,1-3年,本科,全职,上市公司,杭州,10k-20k,弹性工作时间，最核心技术团队，旅游津贴,多麦
Python开发工程师,1-3年,本科,全职,D轮及以上,北京,18k-25k,MIUI,小米
Python工程师,3-5年,本科,全职,上市公司,北京,20k-30k,"纽交所上市,云计算,股票,年度旅游",Veeva
python开发工程师,3-5年,大专,全职,B轮,广州,8k-15k,"晋升空间大,薪酬福利全,专业培训,氛围好",艾美网络科技
资深Python开发工程师,5-10年,本科,全职,D轮及以上,上海,25k-35k,"六险一金,弹性工作,年终旅游,技术挑战",UCloud
Python工程师,1-3年,本科,全职,A轮,上海,10k-20k,"国际化团队,福利太多,企业文化,技术驱动",italki
python研发工程师,3-5年,本科,全职,不需要融资,北京,15k-30k,"人工智能,万物有灵,黑科技,硅谷范",物灵
Python工程师,3-5年,本科,全职,A轮,北京,15k-30k,"北大团队,五百强大牛,期权奖励,专业培训",爱咔咔
Python开发工程师,3-5年,本科,全职,天使轮,上海,15k-30k,"人工智能,股票激励,大牛团队,发展空间大",源杉FIR.ai
Python工程师,1-3年,本科,全职,未融资,长沙,7K-14K,"五险一金,亲属关爱金,免费中晚餐,福利齐全",康通
技术工程部-python开发工程师,3-5年,本科,全职,C轮,北京,20k-40k,技术先进、团队气氛佳,搜狗
高级Python开发工程师,5-10年,本科,全职,D轮及以上,上海,25k-35k,"六险一金,弹性工作,年终旅游,技术挑战",UCloud
