岗位职称,工作经验,学历要求,工作类型,公司发展,工作地点,工资,工作福利,公司名称
JAVA工程师,3-5年,本科,全职,D轮及以上,北京,20k-40k,"朝阳产业,薪资高,技术大牛多",mobike摩拜单车
java,1-3年,大专,全职,上市公司,上海,15k-20k,半年调薪 工作日免费三餐 国外旅游,泛微
java开发工程师,3-5年,大专,全职,不需要融资,南京,9k-15k,"金融行业,技术前沿,加班少,小长假多",武汉佰钧成技术有限公司
Java开发工程师,3-5年,本科,全职,D轮及以上,北京,20k-40k,技术大牛；免费班车,美团点评
java工程师,3-5年,本科,全职,不需要融资,上海,8k-16k,"五险一金,旅游,体检,过节费",江苏亿科达
JAVA,5-10年,本科,全职,不需要融资,北京,35k-45k,"阿里系公司,技术大牛多,薪酬福利好,晋升通道广",支付宝-校园工作平台
JAVA工程师,3-5年,本科,全职,A轮,北京,20k-30k,"福利好,期权激励,氛围好",易快报
Java开发工程师,3-5年,本科,全职,天使轮,上海,10k-20k,"扁平管理,六险一金,节日福利,团队建设",阅客公司—唔哩
Java工程师,3-5年,本科,全职,不需要融资,上海,12k-18k,"双休,五险一金",神州数码通用软件
Java开发工程师,3-5年,大专,全职,不需要融资,深圳,7k-12k,项目好，待遇佳，有发展前景,博悦科创
java开发工程师,3-5年,本科,全职,不需要融资,上海,9k-18k,"车费报销,发展空间大",舟恩信息
java开发,3-5年,本科,全职,C轮,北京,15k-20k,"六险一金,补充医疗,带薪年假,自助午餐",闪银奇异
Java开发,3-5年,本科,全职,A轮,北京,20k-30k,"大数据平台,六险一金",普奥云信息
Java 开发,3-5年,本科,全职,不需要融资,上海,11k-22k,欧美世界500强，五险一金，带薪假14天,瞬联软件科技（北京）有限公司
JAVA工程师,3-5年,本科,全职,D轮及以上,苏州,15k-30k,谈笑有大牛，往来无白丁,同程旅游
Java开发工程师,3-5年,本科,全职,B轮,上海,15k-24k,万亿级O2O平台 一年两次调薪 季度奖金,链家上海研发中心
Java开发工程师,1-3年,本科,全职,上市公司,上海,10k-15k,员工旅游、工作日美味三餐、舒心的工作氛围,泛微
java开发工程师,3-5年,大专,全职,不需要融资,天津,8k-16k,"六险一金,周末双休,带薪年假,年度体检",武汉佰钧成技术有限公司
java工程师,3-5年,本科,全职,不需要融资,北京,15k-25k,"股票期权,绩效奖金",家园网
Java工程师,1年以下,本科,全职,A轮,北京,10k-20k,核心部门 发展空间大 同事NICE 有人带,58到家
Java,3-5年,本科,全职,C轮,上海,15k-25k,"团队协作佳,平台发展好,福利待遇好,上升空间大",小站教育
Java,5-10年,本科,全职,上市公司,北京,18k-35k,"大平台,好团队,好福利",京东商城
Java开发,3-5年,本科,全职,天使轮,上海,13k-20k,"技术控,领导幽默,年轻小伙伴,福利多多",灿福科技
Java开发,5-10年,本科,全职,不需要融资,上海,15k-30k,高薪；团队负责人；分公司经理人,北京盛安德
Java研发工程师,3-5年,本科,全职,不需要融资,北京,20k-25k,"六险一金,技术氛围佳,成长空间大",掌阅
JAVA开发工程师,1-3年,本科,全职,A轮,杭州,7k-12k,"待遇丰厚,平台好",每天健康
Java开发工程师,1-3年,本科,全职,B轮,杭州,10k-15k,"扁平化管理,技能提升快,个人成长路,氛围好",微链welian.com
Java开发工程师,1-3年,本科,全职,B轮,杭州,13k-26k,大牛团队 超强氛围 专技术提发展,二维火
Java,3-5年,本科,全职,B轮,上海,15k-27k,无限发挥，快来和牛逼的团队一起战斗！,有鱼金融科技
Java,3-5年,本科,全职,未融资,杭州,8k-15k,五险一金 带薪年假 补贴 良好的晋升空间,红杉树
