Java开发工程师（西安）,浙江省易得融信软件有限公司,0.6-1.2万/月,西安,3-4年经验,大专,招3人,05-06发布,
区域市场经理,上海海迪信息科技有限公司,1-2.5万/月,西安-高新技术产业开发区,无工作经验,大专,招若干人,05-06发布,五险一金|员工旅游|带薪年假|年终双薪|节日福利|年终奖金|定期体检|绩效奖金
售前总监,迪思杰（北京）数据管理技术有限公司,40-50万/年,西安-高新技术产业开发区,3-4年经验,本科,招1人,05-07发布,
项目经理,天津博和利统计大数据有限公司,5-8千/月,西安-西安国际港务区,2年经验,本科,招1人,03-26发布,五险一金|员工旅游|年终奖金|餐饮补贴|带薪年假|福利体检|周末双休
数据分析师/统计/经济数据分析[西安],天津博和利统计大数据有限公司,4-6千/月,西安-西安国际港务区,无工作经验,本科,招3人,03-26发布,五险一金|员工旅游|年终奖金|餐饮补贴|带薪年假|福利体检|周末双休
政府统计专员/数据分析-西安,天津博和利统计大数据有限公司,4-6千/月,西安-西安国际港务区,无工作经验,本科,招3人,03-26发布,五险一金|员工旅游|年终奖金|餐饮补贴|带薪年假|福利体检|周末双休
大区经理/合伙人,天津博和利统计大数据有限公司,1.5-2万/月,西安-西安国际港务区,5-7年经验,本科,招1人,03-26发布,五险一金|员工旅游|年终奖金|餐饮补贴|带薪年假|福利体检|周末双休
医学编辑,伯图大数据管理有限公司西安分公司,5-7千/月,西安-高新技术产业开发区,2年经验,本科,招2人,04-23发布,
高级UI设计师/交互设计师(职位编号：001),西安速度时空大数据科技有限公司,0.8-1万/月,西安-雁塔区,3-4年经验,本科,招5人,04-25发布,
链家中坚力量房产经纪人,西安链家总部,0.8-1万/月,西安-雁塔区,无工作经验,大专,招8人,05-20发布,五险一金|员工旅游|定期体检
西安链家直聘职业房产经纪人,西安链家总部,0.8-1万/月,西安-雁塔区,无工作经验,中专,招8人,05-20发布,五险一金|员工旅游|定期体检
政府关系总监,西安盛世豪科网络科技有限公司,2-2.5万/月,西安-高新技术产业开发区,5-7年经验,本科,招2人,05-20发布,五险一金|专业培训|绩效奖金|股票期权|员工旅游|老板nice|团队聚餐|项目奖金
链家贝壳新房直销 诚聘房产销售精英,陕西贝壳闹海房地产经纪有限公司,6-8千/月,西安-灞桥区,无工作经验,大专,招5人,05-20发布,
链家新房直招 房产经纪人 储备店经理 管培生,陕西贝壳闹海房地产经纪有限公司,0.8-1万/月,西安-灞桥区,无工作经验,大专,招6人,05-20发布,
浐灞链家/房产经纪/电话销售/五险,西安链家宝业房地产经纪有限公司第五十六分公司,6-8千/月,西安-灞桥区,无工作经验,大专,招15人,05-20发布,弹性工作|带薪年假|五险一金|节日福利|专业培训|高温补贴|交通补贴|一对一帮扶|定时团建|不定时旅游
链家直招 房产经纪人 储备店经理 管培生,陕西贝壳闹海房地产经纪有限公司,0.8-1.5万/月,西安-灞桥区,无工作经验,本科,招2人,05-20发布,
房产经纪人+无责3K+培训+师傅带,陕西贝壳闹海房地产经纪有限公司,4.5-8千/月,西安-高新技术产业开发区,无工作经验,高中,招10人,05-20发布,绩效奖金|节日福利|专业培训|弹性工作|带薪年假
云方向业务部门_大数据工程师,北京思特奇信息技术股份有限公司陕西分公司,0.6-1万/月,西安,2年经验,本科,招若干人,05-20发布,五险一金|补充医疗保险|员工旅游|餐饮补贴|通讯补贴|交通补贴|专业培训|绩效奖金|定期体检|弹性工作
